date,strategy_xs_r,low_risk,momentum,quality,size,value,spx,acc_rate,rebal
2011-06-30,-0.0007365753424657532,-0.002704073134639,0.0016925472857029,0.0018492063983745,0.0005264071516569,-0.0013922466059658,0.0100326680471366,8.657534246575343e-05,True
2011-07-01,0.0171597845664144,-0.0015718869482172,0.0010660937125567,0.0015511503666183,-0.0017796512414125,0.0011375229003869,0.0143224938537064,8.718630136986303e-05,False
2011-07-05,0.007988592875626801,-0.0045414618114998,0.0060357093599697,0.003299725227971,-0.0007981099697873,-0.0072456891164477,-0.0016781773446352,0.0003420273972602,False
2011-07-06,0.012542936759361273,0.0024141187722693,0.002754657558505,0.0025405327684569,0.0015696646334161,-0.0021164855487936,0.0009239084235085,8.515068493150685e-05,False
2011-07-07,0.008059114368585451,-0.0060644527021713,-0.0038576181231828,0.0003899725692922,0.0027049148352091,0.000160305582356,0.0103603368492362,8.596438356164384e-05,False
2011-07-08,-0.007868063644523108,0.0009069281615324,0.0026070421712089,0.0018114905139728,-0.0003515840271639,-0.002139144260364,-0.0070441001158677,8.292602739726028e-05,False
2011-07-11,-0.01684937965273229,0.0097365825905182,9.79320229423e-05,0.0031857506370179,6.2456557842e-05,0.0029902314036658,-0.0183303992452397,0.000239909589041,False
2011-07-12,-0.0031682747276275346,0.0031401174830003,-0.0035883935029188,-0.0042154524932217,-0.0007069815264449,0.0025316817357883,-0.0045123530548383,7.882191780821916e-05,False
2011-07-13,0.009829443125006556,-0.0065381093205884,0.0007346096158536,-0.0013238274860367,0.0031077314348712,-0.004652826660806,0.0030269038923529,7.896986301369864e-05,False
2011-07-14,-0.005120997055893286,0.0047655462255572,0.0012458456454977,0.0005218761913785,-0.0042237586275469,0.0030369992757005,-0.0067970611389786,8.091506849315068e-05,False
2011-07-15,-0.0025683670745544687,-0.0103949485750988,0.0029578268965747,-0.0031372330421769,-0.0026634303444576,-0.0067247602509586,0.0054747985699262,7.961095890410959e-05,False
2011-07-18,0.0031280531755712602,0.0015739276713661,0.0029365417501119,0.0031296607714012,-0.004261844042708,-0.0013574676028834,-0.0083704588697001,0.0002406246575342,False
2011-07-19,0.011722762836322911,-0.0071484444821226,0.0032472379980262,0.0034592473295188,0.0020621155737487,-0.0044891028117203,0.0162297679449704,7.890958904109589e-05,False
2011-07-20,-0.013771246179105155,0.0013241868705955,-0.0048520435767913,-0.0071468388082457,0.0001594737345132,0.0052658535720375,-0.0007510277266311,8.02054794520548e-05,False
2011-07-21,-0.015753446409767013,0.0031425804205311,-0.003412427373959,-0.0048360377971318,-0.0002948997951266,0.0046839846198809,0.0134635648628028,8.256438356164384e-05,False
2011-07-22,-0.011308271334515065,-0.0083406819928689,0.0007371094905221,0.0041469860779761,-0.0001545502713177,-0.0059583807860279,0.0008267197707583,8.115342465753424e-05,False
2011-07-25,-0.0179757223898551,0.0031275476638205,-0.0003276542642437,-0.0023174626194113,-0.003277680499039,0.0018945477733982,-0.0058896634227569,0.0002466246575342,False
2011-07-26,-0.00792629932914109,-0.0026806786187388,-0.0023806372261331,-0.0001108731078999,-0.001540793165354,0.0009512637237951,-0.0041857891023051,8.09013698630137e-05,False
2011-07-27,-0.027563339086005532,0.0108256844925154,-0.0015229858003377,-0.0044729327165501,-0.0040175536417972,0.0068539036847224,-0.0203903746699272,8.165205479452056e-05,False
2011-07-28,0.0016697487095735652,0.0004255809727486,0.0024881856255893,-0.0006306499397723,0.0020192808706228,-0.0026408909012048,-0.0033146849622866,8.06958904109589e-05,False
2011-07-29,-0.005961693244884384,-0.0001810378065877,0.0006631154337678,-0.0012691639272195,0.0006427367678441,-0.0004295349123644,-0.0065271271336764,7.660547945205479e-05,True
2011-08-01,0.012111657741375676,-0.0001881713384589,0.0018190809608974,-0.0019378036726615,0.0014917360407365,-0.0022363999821724,-0.0043577409939995,0.000225509589041,False
2011-08-02,-0.039819106966477925,0.0096628405479081,-0.0009133954464579,0.0015150538534301,-0.0006621539191415,0.0018077489084691,-0.0256282922177722,7.154520547945206e-05,False
2011-08-03,-0.004996595849623336,-0.0014699708358697,-0.0009007983882035,0.0051070448266844,-0.0007047133492998,-0.0023800382696541,0.0049439626719565,7.178630136986302e-05,False
2011-08-04,-0.060026889662935956,0.0248394599308124,-0.0015395428194642,0.0038229019294756,-0.0019686378286124,0.0122147335744253,-0.0478862595449238,6.583013698630137e-05,False
2011-08-05,-0.016648212633561754,0.012724359579509,-0.0003075978335284,0.004622892915339,-0.0083080357993557,0.0069065354208527,-0.0006450623507005,7.00958904109589e-05,False
2011-08-08,-0.10170883869990144,0.021190459432066,-0.0011136527132139,0.0113551772046763,-0.0082346196521571,0.0041388345810863,-0.0668249401164574,0.0001905123287671,False
2011-08-09,0.07199108911701446,-0.0142795492757015,0.0049856522995313,-0.0072806227458524,0.0046680427334811,-0.006431648809264,0.047345174455492,6.161095890410959e-05,False
2011-08-10,-0.027768060317002147,-0.0010034038060681,0.0087398372275192,0.0064099574918436,-0.0101687597171666,-0.0076238293005803,-0.0442100897948926,5.77013698630137e-05,False
2011-08-11,0.058136513263359724,-0.010320348167619,-0.0003576480564332,-0.004752504932918,0.0006787277934053,0.0007669122830543,0.046225910638818,6.41068493150685e-05,False
2011-08-12,0.010277318154390602,-0.0025344621543359,0.0071452662407684,0.0083478396539106,-0.0051846906656104,-0.0060579230757393,0.0051998565309137,6.177534246575343e-05,False
2011-08-15,0.0314508984956501,-0.0089867895833193,-0.0056127920757221,-0.0094936686720134,0.0068325487906396,-0.0010072479130492,0.0215952044491815,0.0001894767123287,False
