date,vol,naive_vol,shrinkage
2013-10-16,0.004199019988959556,0.004513290163024113,0.41098408433015876
2013-10-17,0.003992051741915742,0.004199421193145093,0.38063612460451135
2013-10-18,0.0038683399321999506,0.004034919822967999,0.3549929814178602
2013-10-21,0.0039996933500401274,0.0040991277845951815,0.34035359554130906
2013-10-22,0.0036504563685449787,0.0036852685234347385,4.196896058809419e-18
2013-10-23,0.0036480325242893865,0.003687784066741275,0.0059344529290421225
2013-10-24,0.0036350053224799097,0.0036845583778684294,3.7919016231688797e-10
2013-10-25,0.0037104983575167744,0.003716159776438029,0.15416284237967237
2013-10-28,0.003631441430897929,0.0036333094294898087,0.08261740706720877
2013-10-29,0.003615889206625347,0.003615894583455445,0.10007214167586907
2013-10-30,0.003713700168775802,0.00371452293450015,0.11846573869712225
2013-10-31,0.003679419010481471,0.003679908286549815,0.10788860130747169
2013-11-01,0.003972432603519092,0.003988980599185962,0.17680492599689693
2013-11-04,0.0037740337706631036,0.003781373482727603,0.15423105180020624
2013-11-05,0.0037946617661706174,0.003802732376843921,0.15452664025938614
2013-11-06,0.0034574799896302717,0.003453678151294778,0.1371001814782904
2013-11-07,0.0037878770168508847,0.0037659521522345374,0.15416284237938643
2013-11-08,0.0035657377751942324,0.003561517818879792,0.16265145860829705
2013-11-11,0.003633892936949943,0.0036624446221726354,0.21431204664909828
2013-11-12,0.004733279192622748,0.005202846672542036,0.6107898132539618
2013-11-13,0.004611933800565007,0.005134326845458802,0.6553832575291898
2013-11-14,0.004544229838148096,0.005081633741399365,0.7197838585489512
2013-11-15,0.004625362036978827,0.005256896059321886,0.7155710493891738
2013-11-18,0.00461246470807212,0.005351966239729187,0.8953542196058362
2013-11-19,0.005559904280175615,0.005980208717077548,0.6940774519956213
2013-11-20,0.005531026936023144,0.006042332029711163,0.730269416447378
2013-11-21,0.00576423571775769,0.006184193604042396,1.0
2013-11-22,0.005781282412145832,0.00626420859044054,1.0
2013-11-25,0.005777166838931097,0.006232119980016757,0.9999999999999999
2013-11-26,0.0057975653849136,0.0062078774763617145,0.9999999635421214
2013-11-27,0.0057920013756376475,0.006244573735655047,0.9999999887859768
2013-11-29,0.005768468799250897,0.00627193218946239,1.0
2013-12-02,0.005728198738980496,0.006242658422813268,1.0
2013-12-03,0.0059109625920331565,0.006330499142628541,0.8118744341024142
2013-12-04,0.005899391989107552,0.006312771576422609,0.8113945927584982
2013-12-05,0.005818823374763934,0.006269961931672907,0.805799047928596
2013-12-06,0.005817221218204457,0.006081998035340987,1.0
2013-12-09,0.005817509787115806,0.006114581039684306,1.0
2013-12-10,0.0057628604122429376,0.006088179994664474,0.9999999572370298
2013-12-11,0.004580068605835179,0.0046270790655032045,0.44189441367410803
2013-12-12,0.0049725111663437875,0.004979891112115827,0.16071672707208032
2013-12-13,0.005078752276019838,0.005067791502845028,0.1529245926818828
2013-12-16,0.0050195413173744945,0.005013376032446004,0.13720929602042214
2013-12-17,0.0048636846502943636,0.004848729489841584,0.15416284237953629
2013-12-18,0.004342840530274478,0.0043348092156955086,0.16216639575948683
2013-12-19,0.004255291061638717,0.004249709529633415,0.13720897182299568
2013-12-20,0.0040815782941435634,0.004087667501350115,0.06231818627360891
2013-12-23,0.003754718276961148,0.0038249752669038775,2.0928251991932355e-17
2013-12-24,0.004165356505497725,0.004388125960634112,1.0785293851711567e-18
2013-12-26,0.0041386230760919,0.004364189786339141,4.674975568815676e-18
2013-12-27,0.004090689052318704,0.0043169341866815085,0.0
2013-12-30,0.0043087548095734245,0.004563352986126583,9.756134686738888e-18
2013-12-31,0.004715281220086036,0.004912467861074663,9.587452538177998e-18
2014-01-02,0.004591148988632072,0.004800071917656005,0.0
2014-01-03,0.005613927950004356,0.005860511459480309,8.710104962539144e-18
2014-01-06,0.005622277942755563,0.0059402709948690674,8.179685173875814e-18
2014-01-07,0.005465908747789624,0.005720807163332944,0.0
2014-01-08,0.005959485543662466,0.006216305911400177,0.0
2014-01-09,0.006183977030831657,0.0064289000902346075,0.0
2014-01-10,0.006195424296467095,0.006466206214114828,0.0
2014-01-13,0.006271547000537838,0.0065466028755575495,0.0
2014-01-14,0.00603666145684799,0.006308547767140223,5.424130138265025e-18
2014-01-15,0.006100323070625741,0.006350938925953965,4.5824664807460225e-18
2014-01-16,0.00625566790368872,0.006485044782660707,2.1471452701573502e-17
2014-01-17,0.006149344580376986,0.00639886476085498,2.2305451979815448e-18
2014-01-21,0.006458267969813264,0.006639644486374673,2.45785586022491e-18
2014-01-22,0.005947785674835957,0.006227964265809325,4.004121462697167e-17
2014-01-23,0.005912169969375293,0.006188662011675357,0.0
2014-01-24,0.005824793932306237,0.005952624823967459,6.101785484660636e-18
2014-01-27,0.006778842673021476,0.0069407093196822275,0.3657614623711331
2014-01-28,0.006757110433422604,0.006923002172920186,0.3669877980535674
2014-01-29,0.006385616454496018,0.006547672336355431,0.3508158664545357
2014-01-30,0.006331998818915962,0.006435784570593707,0.2434482321490843
2014-01-31,0.006368542855250556,0.006587131934777216,0.43603561872828805
2014-02-03,0.004612244967648618,0.005040045486513584,0.4927567234364609
2014-02-04,0.0046856661777115805,0.005068153437060404,0.66838444509865
2014-02-05,0.004635857166858535,0.005025455037133282,0.6624572777821869
2014-02-06,0.004274015840006795,0.004609295478274081,0.6658587186938667
2014-02-07,0.00408302776004985,0.0046120967956041,0.6988414422574225
2014-02-10,0.004109971574680951,0.004585268435028327,0.6408682862323886
2014-02-11,0.003783393142155209,0.0042306436307284956,0.639116472217365
