start_date,end_date,vol,naive_vol,shrinkage
2022-05-16,2022-06-14,0.010451630886948145,0.010725282553933202,6.738788205156461e-19
2022-05-17,2022-06-15,0.01049842507433455,0.010713861335207919,3.465584898296464e-17
2022-05-18,2022-06-16,0.009021143493573695,0.009339705082935,0.0
2022-05-19,2022-06-17,0.00921209525138845,0.009557588051815388,0.0
2022-05-20,2022-06-21,0.010222992488941486,0.010648814166526337,0.0
2022-05-23,2022-06-22,0.009853640189438972,0.010274466080893396,0.0
2022-05-24,2022-06-23,0.01007265776142424,0.010486181493980343,0.0
2022-05-25,2022-06-24,0.01055055261688191,0.011018225329623448,4.307715255621694e-18
2022-05-26,2022-06-27,0.010424665088196719,0.010881257369327105,2.011307978450653e-19
2022-05-27,2022-06-28,0.010372994802320285,0.010792791007111386,1.237598628348315e-18
2022-05-31,2022-06-29,0.010351045839452018,0.010774529528818409,3.4818934882516756e-18
2022-06-01,2022-06-30,0.010272039114627032,0.010694990460728257,0.0
2022-06-02,2022-07-01,0.010377436286839525,0.01086090825726804,0.0
2022-06-03,2022-07-05,0.010422903542199444,0.010943691295752763,6.565264746820408e-18
2022-06-06,2022-07-06,0.01048182100316762,0.01098411394810835,0.0
2022-06-07,2022-07-07,0.010307772256662505,0.010807486670617743,0.0
2022-06-08,2022-07-08,0.010154428262367973,0.01066212981869681,0.0
2022-06-09,2022-07-11,0.011580483818500102,0.011724656608888877,0.0
2022-06-10,2022-07-12,0.011493055480085808,0.011612590070630362,3.7335488511428055e-18
2022-06-13,2022-07-13,0.009276362198772935,0.009374571262979251,0.0
2022-06-14,2022-07-14,0.009028132086800042,0.009070373310796239,0.0
2022-06-15,2022-07-15,0.009089752302971975,0.00915469247496642,8.779549847161157e-18
2022-06-16,2022-07-18,0.00895726416114857,0.009031264005412903,1.392627380816951e-18
2022-06-17,2022-07-19,0.009260996793596082,0.009306284976816268,0.0
2022-06-21,2022-07-20,0.007934059876224583,0.00799294482836947,0.0
2022-06-22,2022-07-21,0.007975974773311722,0.008011207999993636,0.008731149137063325
2022-06-23,2022-07-22,0.007590298428365617,0.007616329920491921,0.04964818628897337
2022-06-24,2022-07-25,0.0066808028447478554,0.006700213882183902,0.15416284280219514
2022-06-27,2022-07-26,0.006544935367259885,0.006549096403646898,0.15416284817148435
2022-06-28,2022-07-27,0.006211152502634321,0.0062222798622716576,2.0084207530192325e-17
2022-06-29,2022-07-28,0.006397314888850247,0.006427566005418638,1.0008843738269688e-17
2022-06-30,2022-07-29,0.006419179308241028,0.006438318265177898,0.0
2022-07-01,2022-08-01,0.005785163939221375,0.00578937918389581,0.12272004195116393
2022-07-05,2022-08-02,0.005540077089454549,0.005561235928699378,0.21631646530556822
2022-07-06,2022-08-03,0.00557815802502821,0.005603504322248055,0.15299808163578688
2022-07-07,2022-08-04,0.005594461250683252,0.005625830784751424,0.15416284237967237
2022-07-08,2022-08-05,0.005520633625853787,0.00555076026779062,0.15416284237967237
2022-07-11,2022-08-08,0.00552376255068835,0.005549026088166607,0.1541628427487986
2022-07-12,2022-08-09,0.005459463648015601,0.005485742362346936,0.15416285307638536
2022-07-13,2022-08-10,0.005808122496835211,0.00583163047803268,0.15416286566469634
2022-07-14,2022-08-11,0.005630241053928745,0.005687538942511181,0.26114944026570586
2022-07-15,2022-08-12,0.00579074778857751,0.0058091232027011365,0.14834207628526183
2022-07-18,2022-08-15,0.0051388430435530316,0.005175695247212153,0.1490415092276233
2022-07-19,2022-08-16,0.004862257240021777,0.004900563452345049,0.16119029303469024
2022-07-20,2022-08-17,0.004590590944740277,0.004635846321941339,0.1551477165340688
2022-07-21,2022-08-18,0.004516037742047077,0.00462422620686607,0.37391003477265894
2022-07-22,2022-08-19,0.004590458254498821,0.004604598703222447,0.20486163925072587
2022-07-25,2022-08-22,0.005406978650009577,0.005401965603441643,0.07048977880776683
2022-07-26,2022-08-23,0.00550096793742347,0.005548928532183246,0.0
2022-07-27,2022-08-24,0.005400076654355445,0.005455715542732339,0.0014551915228366852
2022-07-28,2022-08-25,0.005297228684703204,0.005338533977781307,0.0
2022-07-29,2022-08-26,0.006577538570016542,0.006624217605527609,6.0991662698950156e-18
2022-08-01,2022-08-29,0.006629395834903377,0.006687480422920569,0.00888387363787956
2022-08-02,2022-08-30,0.0067648941261833065,0.0068437442138141414,1.2304117691856145e-17
2022-08-03,2022-08-31,0.0066246442508268374,0.006789629373466554,0.0
2022-08-04,2022-09-01,0.006865699203208965,0.006962810794813702,6.361716310384744e-18
2022-08-05,2022-09-02,0.0071429812877772505,0.007228459897361316,0.0
2022-08-08,2022-09-06,0.007061299662306547,0.007169799525506307,0.0
2022-08-09,2022-09-07,0.007725892626341557,0.007877466778671354,3.6068985619030835e-18
