date,cgp_ucb
1982-02-02,1.0
1982-02-03,0.9989238829758018
1982-02-04,0.0
1982-02-05,1.0
1982-02-08,0.0
1982-02-09,1.0
1982-02-10,4.766216535464906e-17
1982-02-11,1.0
1982-02-12,4.675859766088961e-17
1982-02-15,1.2372639933310896e-08
1982-02-16,4.675859766088961e-17
1982-02-17,4.675859766088961e-17
1982-02-18,4.675859766088961e-17
1982-02-19,4.675859766088961e-17
1982-02-22,4.675859766088961e-17
1982-02-23,4.675859766088961e-17
1982-02-24,4.675859766088961e-17
1982-02-25,4.675859766088961e-17
1982-02-26,4.675859766088961e-17
1982-03-01,4.675859766088961e-17
1982-03-02,4.675859766088961e-17
1982-03-03,0.5860901336245781
1982-03-04,0.7414758375763877
1982-03-05,0.8879722066248756
1982-03-08,0.7698814276849342
1982-03-09,0.7399719252499853
1982-03-10,0.6883373388681117
1982-03-11,0.6445603280248118
1982-03-12,0.6163442400543248
1982-03-15,0.7600055215897714
1982-03-17,0.6754831477297122
1982-03-18,0.6937427107445265
1982-03-19,0.6930667118756348
1982-03-22,0.6441965301459306
1982-03-23,0.5765801522369703
1982-03-24,0.6215197956956705
1982-03-25,0.6833299365284041
1982-03-26,0.8724521185838273
1982-03-29,0.8874885728927523
1982-03-30,0.7347822019873436
1982-03-31,0.855864784016881
1982-04-01,0.7132574941535392
1982-04-02,0.7764148631658259
1982-04-05,0.7418279437197367
1982-04-06,0.785975083472319
1982-04-07,0.750664922502183
1982-04-08,0.710685032256635
1982-04-09,0.7319856510809687
1982-04-12,0.697177102589743
1982-04-13,0.6924477309621555
1982-04-14,0.4795538388738468
1982-04-15,0.4806452325165488
1982-04-16,0.4806452305803607
1982-04-19,0.4806452325269441
1982-04-20,0.08083136140672126
1982-04-21,0.2190520136462977
1982-04-22,0.2190520136462977
1982-04-23,0.2154140352070309
1982-04-26,0.18703780014181381
1982-04-27,0.1752977229582899
1982-04-28,0.1776320926940691
1982-04-29,5.922356000647453e-18
1982-04-30,0.12643412952685157
1982-05-03,0.15953314831207185
1982-05-04,0.08424972414038119
1982-05-05,0.08645658551712503
1982-05-06,0.1776320926940691
1982-05-07,0.06512720312639726
1982-05-11,0.0
1982-05-12,0.0
1982-05-13,0.39024323319516974
1982-05-14,0.1776320952981372
1982-05-17,1.0
1982-05-18,0.17424048295408556
1982-05-19,0.4686703973570803
1982-05-20,0.13035930275621446
1982-05-21,0.1732665193737525
1982-05-24,0.17908728421767173
1982-05-25,0.1776320926940691
1982-05-26,0.1776320926940691
1982-05-27,0.0437544397792693
1982-05-28,0.17181132725136397
1982-05-31,1.0
1982-06-01,0.21764985959314148
1982-06-02,0.8461266310896658
1982-06-03,0.1776320926940691
1982-06-04,0.1776320926940691
1982-06-07,0.04514384071999984
1982-06-08,0.16765363717516155
1982-06-09,0.10831578471692938
1982-06-10,0.1267003893679768
1982-06-11,0.0
1982-06-14,0.1543490283164269
1982-06-15,0.5199678020366618
1982-06-16,0.32025991308596646
1982-06-17,0.5515513326088963
1982-06-18,0.4034072630244398
1982-06-21,0.42582781662917596
1982-06-22,0.41406313572083614
1982-06-23,0.9999999999999999
1982-06-24,0.3016265371010435
1982-06-25,0.2794954993462535
1982-06-28,0.3184946321788039
1982-06-30,0.6401121133744935
1982-07-01,0.2693144123620732
1982-07-02,0.16379170427941933
1982-07-05,0.22661383937853377
1982-07-06,0.21255668926053228
1982-07-07,0.1970346463421042
1982-07-08,0.22861513493854138
1982-07-09,0.2113925309720731
1982-07-12,0.23290739943456693
1982-07-13,0.12524519784437438
1982-07-14,0.1913351462750004
1982-07-15,0.1732665181232612
1982-07-16,0.1428493371445864
1982-07-19,0.1558042198400296
1982-07-20,0.27464434217729816
1982-07-21,0.5602136857935293
1982-07-22,0.29550260610588247
1982-07-23,0.15740453374150537
1982-07-26,0.20806527710391967
1982-07-27,0.17252465412919127
1982-07-28,0.0027601771768650334
1982-07-29,0.08795591503568602
1982-07-30,0.19800477402450598
1982-08-02,0.09394634382665658
1982-08-04,3.98169500302736e-18
1982-08-05,0.17052756855395573
1982-08-06,0.17763209366126267
1982-08-09,0.0
1982-08-10,0.46139443979658246
1982-08-11,0.17763209892892157
1982-08-12,0.47303597330274433
1982-08-13,0.35198106400170354
1982-08-16,0.1805424757412742
1982-08-17,0.28472249110651093
1982-08-18,0.0
1982-08-19,0.17763208329240102
1982-08-20,0.3700811716905173
1982-08-23,0.09900343212070649
1982-08-24,0.3772589616263827
1982-08-25,0.2454218238403443
1982-08-26,0.19533929875552
1982-08-27,0.33230905287266915
1982-08-30,0.24311571125618758
1982-08-31,0.4551364596289081
1982-09-01,0.2402053282089823
1982-09-02,0.4095908583703428
1982-09-03,0.26667229668501413
1982-09-06,0.6137988225514697
1982-09-07,0.5850021909484743
1982-09-08,0.2731366940602085
1982-09-09,0.2710614622233946
1982-09-10,0.2822647274656048
1982-09-13,0.5127124020998832
1982-09-14,0.24943606890703937
1982-09-15,0.258994889027157
1982-09-16,0.35804034914461025
1982-09-17,0.28184555384244114
1982-09-20,0.2838217768365473
1982-09-21,0.2722301176798691
1982-09-22,0.27745520796339485
1982-09-23,0.1545263112237108
1982-09-24,0.20076645495939274
1982-09-27,0.17647926299504935
1982-09-28,0.20558529083949187
1982-09-29,0.20640046265724976
1982-09-30,0.2003493553452115
1982-10-01,0.14977881743747798
1982-10-04,0.09641199003190837
1982-10-06,0.0
1982-10-07,0.06333675431014936
1982-10-08,0.09752564327124326
1982-10-11,0.1241310178458562
1982-10-12,0.15287785676671936
1982-10-13,0.18751287189805674
