end_date,start_date,vol,naive_vol,shrinkage
1981-01-29,1980-12-31,0.006477911730527,0.0065083484354828,0.1673642712535506
1981-01-30,1981-01-02,0.0064999437511976,0.006614332339195,0.3823927477540746
1981-02-02,1981-01-05,0.0051814754079784,0.0052528735835391,0.1974547147340948
1981-02-03,1981-01-06,0.004921119925898,0.0049399156375737,0.1457954911189572
1981-02-04,1981-01-07,0.0043138204260228,0.0043951378471092,0.2101259790144596
1981-02-05,1981-01-08,0.0042046254180705,0.0042806902168146,0.2202872124023335
1981-02-06,1981-01-09,0.0043909172138647,0.0044264439650902,0.1970943514874089
1981-02-09,1981-01-12,0.0041626285190212,0.0041801232607305,0.1705434374082147
1981-02-10,1981-01-13,0.0041168158534275,0.0041425690949752,0.1877135752666094
1981-02-11,1981-01-14,0.003941294464405,0.0039433585378252,0.1422866178087911
1981-02-12,1981-01-15,0.0039326026495615,0.0039326628619827,0.1034193793060866
1981-02-13,1981-01-16,0.0037476576639932,0.0037540467085475,0.151013587484176
1981-02-17,1981-01-19,0.0038464224447825,0.0038482344611284,0.1207913051219769
1981-02-18,1981-01-20,0.0034991420189732,0.0035029991444612,0.0663898497924603
1981-02-19,1981-01-21,0.003570747489908,0.0035702848882377,0.1130203191180447
1981-02-20,1981-01-22,0.0034326878962125,0.0034369435443765,0.1443394307901
1981-02-23,1981-01-23,0.0035295679665979,0.0035569367422383,0.1867488338671693
1981-02-24,1981-01-26,0.0035326488651702,0.0035577230055963,0.180371916569389
1981-02-25,1981-01-27,0.003500016483079,0.0035427335448225,0.2008589157054215
1981-02-26,1981-01-28,0.0039978083559031,0.0039980321593068,0.0807310616760323
1981-02-27,1981-01-29,0.0041801201949387,0.0041977372640396,0.1541628423796723
1981-03-02,1981-01-30,0.0042746462019966,0.0042717909212201,0.1291116466508954
1981-03-03,1981-02-02,0.0039604364515841,0.0039632845818204,0.1541628423796723
1981-03-04,1981-02-03,0.0039713883989758,0.0039895001092783,0.1548301278757132
1981-03-05,1981-02-04,0.0039268276982181,0.0039462581562312,0.1541628422699049
1981-03-06,1981-02-05,0.0039962023735241,0.0040349813462861,0.191407905123045
1981-03-09,1981-02-06,0.0039618254228844,0.0040020214127633,0.1910179047074018
1981-03-10,1981-02-09,0.004086675217027,0.0041310181384909,0.2125973345195106
1981-03-11,1981-02-10,0.0040728871635784,0.0041266206858253,0.2180807152969894
1981-03-12,1981-02-11,0.0042750978015072,0.0043010888109223,0.1541628423796723
1981-03-13,1981-02-12,0.0041595350862627,0.0041760081451323,0.1914068342685416
1981-03-16,1981-02-13,0.0039369467157056,0.0039540501617271,0.1541628423796723
1981-03-17,1981-02-17,0.003900502102142,0.0039319898617362,0.1960293469871525
1981-03-18,1981-02-18,0.004047263760613,0.0040753104871965,0.1541628423796723
1981-03-19,1981-02-19,0.0035005417520357,0.0035627268865274,0.2342368598775217
1981-03-20,1981-02-20,0.0034248179182473,0.0035526243544449,0.2727202601480074
1981-03-23,1981-02-23,0.0034355866719512,0.0035484248920328,0.2766585318144436
1981-03-24,1981-02-24,0.0036161682079949,0.0036827402938593,0.2633150616731469
1981-03-25,1981-02-25,0.0036958702099507,0.0036916645299214,0.1541628423796723
1981-03-26,1981-02-26,0.0035020749268383,0.0035311002070466,0.1832124763423716
1981-03-27,1981-02-27,0.003451137010051,0.003496156780331,2.2201542124507685e-08
1981-03-30,1981-03-02,0.003309191534004,0.0033551459938722,3.036104601379837e-08
1981-03-31,1981-03-03,0.0035763741394298,0.0036534549979335,9.516550749198732e-09
1981-04-01,1981-03-04,0.0038181191375694,0.0038978418017509,5.491174967786118e-09
1981-04-02,1981-03-05,0.0038492957602284,0.0039039545447105,2.5786266620167053e-08
1981-04-03,1981-03-06,0.0036054968349399,0.0037084041402579,6.283431921350149e-10
1981-04-06,1981-03-09,0.004305170871376,0.0044319342698242,7.45835794300459e-18
1981-04-07,1981-03-10,0.0042303031804214,0.0044403118771148,0.0
1981-04-08,1981-03-11,0.0042155133379117,0.0044299843103059,7.895982441884987e-18
1981-04-09,1981-03-12,0.0040824866934753,0.0042940242911797,0.0
1981-04-10,1981-03-13,0.0040465166614594,0.0042729414104355,2.0618390373033608e-17
1981-04-13,1981-03-16,0.0040490909580845,0.0042699370179435,2.181076517556032e-17
1981-04-14,1981-03-17,0.004177938069731,0.0044292479380724,0.0
1981-04-15,1981-03-18,0.0043442757839951,0.0045522767692341,0.0
1981-04-16,1981-03-19,0.0043702239631644,0.0045606766825094,0.0
1981-04-20,1981-03-20,0.0045324029630081,0.0047502467425466,1.578302954655001e-17
1981-04-21,1981-03-23,0.0044279442124588,0.0046673120032332,0.0
1981-04-22,1981-03-24,0.0044798109434114,0.0046645623972169,1.7710796383015853e-19
1981-04-23,1981-03-25,0.0042341059795351,0.0044273060808282,0.0
1981-04-24,1981-03-26,0.004117129553905,0.004308868797985,9.874335272216482e-19
1981-04-27,1981-03-27,0.003975878247751,0.0040848139997048,7.63538322057496e-17
1981-04-28,1981-03-30,0.0041884854907324,0.0042836897182281,0.0
1981-04-29,1981-03-31,0.0042858671454631,0.0043499988561606,0.0
1981-04-30,1981-04-01,0.004060587577876,0.0042083417627569,0.3099151681819493
1981-05-01,1981-04-02,0.0043137060298479,0.0044674127152531,0.3483590772160396
1981-05-04,1981-04-03,0.0052481905017881,0.0054801478635883,0.3946195574499067
1981-05-05,1981-04-06,0.0051383370684593,0.0055388644880057,0.6161928486201536
1981-05-06,1981-04-07,0.0051904337118208,0.0056194166675819,0.3781617931257691
