end_date,shrinkage
1981-01-30,2.0146065021361624e-17
1981-02-02,0.0
1981-02-03,0.0
1981-02-04,0.0
1981-02-05,0.002259233518513537
1981-02-06,0.002259233518513537
1981-02-09,0.0022592384514765382
1981-02-10,0.00226727158531504
1981-02-11,0.002259233518513537
1981-02-12,0.0022286814634331444
1981-02-13,0.0022691348435448706
1981-02-17,0.0022697357138846646
1981-02-18,0.014578220981903766
1981-02-19,0.014578220981903766
1981-02-20,0.002251945285487989
1981-02-23,0.00226605216271135
1981-02-24,0.0022663937982548587
1981-02-25,0.0022525598079345373
1981-02-26,0.0022525618364384794
1981-02-27,0.002252563959947108
1981-03-02,0.0022332425351910294
1981-03-03,0.002252563959947108
1981-03-04,0.002252563959947108
1981-03-05,0.002303518021975365
1981-03-06,0.0022551840594017885
1981-03-09,0.002261296350891504
1981-03-10,0.0022509008814753273
1981-03-11,0.002263890834153075
1981-03-12,0.002252563959947108
1981-03-13,0.002252563959947108
1981-03-16,0.002252563959947108
1981-03-17,0.0022552228912909224
1981-03-18,0.0022520321612969512
1981-03-19,0.00225163205294215
1981-03-20,0.00225775278244563
1981-03-23,0.002258340492387928
1981-03-24,0.002252541133806696
1981-03-25,0.0022540962627006114
1981-03-26,0.00226084213362706
1981-03-27,0.014574040201513047
1981-03-30,0.014541601983436066
1981-03-31,0.014540866581270387
1981-04-01,0.01454123634147556
1981-04-02,0.01454107078448149
1981-04-03,0.01454107078448149
1981-04-06,0.014541176441082602
1981-04-07,0.014549094600129917
1981-04-08,0.014543362467551143
1981-04-09,0.01454107078448149
1981-04-10,0.01454095663665038
1981-04-13,0.014541030336066452
1981-04-14,0.014540924380683983
1981-04-15,0.01454108015402406
1981-04-16,0.014546463355151713
1981-04-20,0.014523183034085382
1981-04-21,0.014541591019675719
1981-04-22,0.014542474164646971
1981-04-23,0.014553093701489791
1981-04-24,0.014540588323808007
1981-04-27,0.014545380975116706
1981-04-28,0.01454107078448149
1981-04-29,0.014542297375840894
1981-04-30,0.014541149099802038
1981-05-01,0.01454107078448149
1981-05-04,0.01452522197551707
1981-05-05,0.0
1981-05-06,0.014541277914991742
1981-05-07,0.0
1981-05-08,0.0
1981-05-11,0.014536431182961546
1981-05-12,0.014530934601144328
1981-05-13,0.014566495329970192
1981-05-14,0.0
1981-05-15,0.014540668769645361
1981-05-18,0.0
1981-05-19,0.0
1981-05-20,0.014542064838333051
1981-05-21,0.014542402743962221
1981-05-22,0.01454098934986662
1981-05-26,0.014531649826509408
1981-05-27,0.014544616735817271
1981-05-28,0.01454107078448149
1981-05-29,0.014537793577219535
1981-06-01,0.014542295652088331
1981-06-02,0.014538086070690502
1981-06-03,0.014521161933240267
1981-06-04,0.01455344641525646
1981-06-05,0.014608526241468642
1981-06-08,0.014523820479372049
1981-06-09,0.014537961191250438
1981-06-10,0.014538448947391334
1981-06-11,0.01454107078448149
1981-06-12,0.014598796248749666
1981-06-15,0.01454107078448149
1981-06-16,0.01454107078448149
1981-06-17,0.014541076722007681
1981-06-18,0.014540832709646609
1981-06-19,0.014543900616076256
1981-06-22,0.014538988069755995
1981-06-23,0.0145410705961014
1981-06-24,0.01454107078448149
1981-06-25,0.01454662908345408
1981-06-26,0.014541154555017482
1981-06-29,0.01449915767545481
1981-06-30,0.01454107078448149
1981-07-01,0.014542898616347574
1981-07-02,0.01454067583179076
1981-07-06,0.01454107078448149
1981-07-07,0.014539580985889323
1981-07-08,0.0
1981-07-09,0.014549038644464682
1981-07-10,0.0
1981-07-13,0.013085879261636162
1981-07-14,0.0
1981-07-15,5.89984729058273e-06
1981-07-16,0.0
1981-07-17,0.0
1981-07-20,1.1742031919951675e-06
1981-07-21,4.078440512719905e-07
1981-07-22,2.210480872079192e-06
1981-07-23,0.0
1981-07-24,0.0
1981-07-27,0.0
1981-07-28,0.0
1981-07-29,0.0
1981-07-30,0.0001511642468713307
1981-07-31,0.00015093626066171157
1981-08-03,0.00015094025938806034
1981-08-04,0.00015093716180952544
1981-08-05,0.00015092300026117893
1981-08-06,0.0001509230032620377
1981-08-07,0.00015092300302754457
1981-08-10,0.00015092302213675631
1981-08-11,0.00015092299608795163
1981-08-12,0.00015092301854923863
1981-08-13,0.00015092301496180525
1981-08-14,0.00015092300731819926
1981-08-17,0.0001509230072009513
1981-08-18,0.00015092302595886805
1981-08-19,0.00015092301043646093
1981-08-20,0.0001509230067319592
1981-08-21,0.0001509230064974632
1981-08-24,0.00015092300567672696
1981-08-25,0.00015092299873699044
1981-08-26,0.00015092301414104979
1981-08-27,0.0001509230027930512
1981-08-28,0.0001509230064974632
1981-08-31,0.0001509230176112214
1981-09-01,0.00015092301784572568
1981-09-02,0.00015092302166774214
1981-09-03,0.00015092302237126336
1981-09-04,0.0001509229958534639
1981-09-08,0.00015092299815076414
1981-09-09,0.00015092301772847344
1981-09-10,0.00015092300267580456
1981-09-11,0.00015092299573622002
1981-09-14,0.0001509230040827643
1981-09-15,0.00015092299203206506
1981-09-16,0.00015092300244131128
1981-09-17,0.00015092301031921157
1981-09-18,0.0001509230029102978
1981-09-21,0.00015092300396551763
1981-09-22,0.00015092302155048863
1981-09-23,0.00015092300255855793
1981-09-24,0.00015092301078820916
1981-09-25,0.00015092302260577044
1981-09-28,0.00015092300208957135
1981-09-29,0.0001509230027930512
1981-09-30,0.00015115152126401424
1981-10-01,0.00015115152558364226
1981-10-02,0.000151151497576006
1981-10-05,0.00015115150212954108
1981-10-06,0.00015115151006445506
1981-10-07,0.00015115150271576588
1981-10-08,0.0001511515177652411
