end_date,shrinkage
1981-01-29,0.15416284237967237
1981-01-30,0.0
1981-02-02,0.0
1981-02-03,1.2758181764550228e-09
1981-02-04,0.0708783697751393
1981-02-05,0.06883442288501206
1981-02-06,0.03302742164256735
1981-02-09,0.3893850607807993
1981-02-10,0.032292361866087985
1981-02-11,0.2876207539918852
1981-02-12,0.23530839554090793
1981-02-13,0.24238082838629255
1981-02-17,0.23996500841643637
1981-02-18,0.4783972630766875
1981-02-19,0.01623592495519578
1981-02-20,0.31880672644185754
1981-02-23,0.3202171711846299
1981-02-24,0.3198434895640917
1981-02-25,0.3470076810135637
1981-02-26,0.3268948554136174
1981-02-27,0.31453291924589155
1981-03-02,0.31451586955903493
1981-03-03,0.5999657042179622
1981-03-04,0.37486114227795225
1981-03-05,0.3746184963431118
1981-03-06,0.37450765717549456
1981-03-09,0.3550369792086772
1981-03-10,0.3325153055172232
1981-03-11,0.3563798557768584
1981-03-12,0.3508680978590386
1981-03-13,0.35067440463554245
1981-03-16,0.3471329160604318
1981-03-17,0.3581172053283347
1981-03-18,0.3580193084581771
1981-03-19,0.3580165435102025
1981-03-20,0.49359428471709593
1981-03-23,0.49350352502374245
1981-03-24,0.49503635607328217
1981-03-25,0.494021546903017
1981-03-26,0.49451787190582347
1981-03-27,0.4945659502799731
1981-03-30,0.49453610004781245
1981-03-31,0.49516824775667184
1981-04-01,0.4942500322111238
1981-04-02,0.49399054374460866
1981-04-03,0.5074315897883434
1981-04-06,0.507309905244922
1981-04-07,0.50764899957715
1981-04-08,0.5076803508112936
1981-04-09,0.5076714085875514
1981-04-10,0.5089534685275068
1981-04-13,0.5664647788956733
1981-04-14,0.5088842249682677
1981-04-15,0.508889990630556
1981-04-16,0.5094170722134769
1981-04-20,0.674877424481128
1981-04-21,0.5092515350360798
1981-04-22,0.509254781329233
1981-04-23,0.5093048349808725
1981-04-24,0.5093361287260961
1981-04-27,0.5089858345900637
1981-04-28,0.5090034719527633
1981-04-29,0.5086553717813874
1981-04-30,0.5082059625327697
1981-05-01,0.5082228807319211
1981-05-04,0.5087905974967368
1981-05-05,0.5887008457252936
1981-05-06,0.5090458967796823
1981-05-07,0.5038042351238382
1981-05-08,0.5075855753294944
1981-05-11,0.5076240651422494
1981-05-12,0.632452260011973
1981-05-13,0.6324643375903227
1981-05-14,0.6324634008081238
1981-05-15,0.5084344188228656
1981-05-18,0.508422136872028
1981-05-19,0.5082795861330246
1981-05-20,0.5083634587287733
1981-05-21,0.5082024312111955
1981-05-22,0.5678128181966141
1981-05-26,0.5086219148395201
1981-05-27,0.5086235689612837
1981-05-28,0.508300550699536
1981-05-29,0.5038009002509357
1981-06-01,0.503718743057628
1981-06-02,0.5036344632941225
1981-06-03,0.5036724029998477
1981-06-04,0.5017518797753092
1981-06-05,0.5016549263194059
1981-06-08,0.5017207596094941
1981-06-09,0.501917358761236
1981-06-10,0.5035748666210519
1981-06-11,0.5036848620522957
1981-06-12,0.5036882732928764
1981-06-15,0.503688732776573
1981-06-16,0.5036638660586421
1981-06-17,0.5035388841763699
1981-06-18,0.5035637251525589
1981-06-19,0.5035543051925935
1981-06-22,0.5035537687265983
1981-06-23,0.5035676554707342
1981-06-24,0.5516740342771996
1981-06-25,0.5516795586106258
1981-06-26,0.5037230296479293
1981-06-29,0.5037570161820228
1981-06-30,0.5037595390463449
1981-07-01,0.5038580577090374
1981-07-02,0.5038879330774135
1981-07-06,0.5038863878503017
1981-07-07,0.5038927213729074
1981-07-08,0.5038924721427404
1981-07-09,0.5022303725034695
1981-07-10,0.5022066547493542
1981-07-13,0.5024027045667163
1981-07-14,0.5027509367901347
1981-07-15,0.5028189396962641
1981-07-16,0.5031194109048146
1981-07-17,0.5031215850865711
1981-07-20,0.5031217583232794
1981-07-21,0.5007442956791883
1981-07-22,0.50022448112997
1981-07-23,0.5003017675378548
1981-07-24,0.5009986889194588
1981-07-27,0.5019100143850368
1981-07-28,0.5021640697497426
1981-07-29,0.5018526364304011
1981-07-30,0.5020954839039694
1981-07-31,0.502096231052762
1981-08-03,0.5020739656556578
1981-08-04,0.501966091925933
1981-08-05,0.5019661779317803
1981-08-06,0.5039923139629056
1981-08-07,0.5039924549437245
1981-08-10,0.5039761926467764
1981-08-11,0.5039768105195976
1981-08-12,0.5039229020531646
1981-08-13,0.5039722928368211
1981-08-14,0.5036111379104471
1981-08-17,0.5034370267722841
1981-08-18,0.5026783269421852
1981-08-19,0.5026760326618391
1981-08-20,0.07880724071167058
1981-08-21,0.07880766144904994
1981-08-24,0.07880792340105319
1981-08-25,0.07880686221644781
1981-08-26,0.07896552814630778
1981-08-27,0.07922652979650843
1981-08-28,0.079225774597704
1981-08-31,0.07922509041934829
1981-09-01,0.07922518434558903
1981-09-02,0.07927587901718554
1981-09-03,0.07928388103612322
1981-09-04,0.07928363835810813
1981-09-08,0.07928349899160742
1981-09-09,0.07928286894541028
1981-09-10,0.07929216308838352
1981-09-11,0.07921116956911063
1981-09-14,0.07922259303433214
1981-09-15,0.07922284867137312
1981-09-16,0.07922313496981755
1981-09-17,0.07922159684005256
1981-09-18,0.07922093559571476
1981-09-21,0.07922109714391275
1981-09-22,0.07922098466039833
1981-09-23,0.07922076154850675
1981-09-24,0.07826998581529285
1981-09-25,0.07827075274953892
1981-09-28,0.07827051763120255
1981-09-29,0.07827072984772096
1981-09-30,0.07827102013648535
1981-10-01,0.07827472617640417
1981-10-02,0.0782746144465348
1981-10-05,0.07827713048675625
1981-10-06,0.0782784669103313
1981-10-07,0.07827856657135912
