date,vol,naive_vol,shrinkage
2014-09-30,0.00798780262378677,0.00812086764059031,0.0
2014-10-01,0.007889593822144601,0.008012411938040859,0.0
2014-10-02,0.00787855208555027,0.008006209944062736,0.0
2014-10-03,0.007876827336087822,0.007981093724384112,1.1016188296060272e-17
2014-10-06,0.007830906492815608,0.007929976185885054,0.0
2014-10-07,0.007278774060517991,0.007462763978271305,0.0
2014-10-08,0.006584301438711142,0.006716791660808483,0.0
2014-10-09,0.005896068018299004,0.005906725362185776,0.07644218962248295
2014-10-10,0.0056605652493934115,0.005653725579463668,0.15443569079034788
2014-10-13,0.005173459018785455,0.005262426655422398,0.2653557957871677
2014-10-14,0.005108790843329766,0.005182288956602526,0.2766076794367231
2014-10-15,0.004781882233558103,0.004851012745204652,0.2348336047844522
2014-10-16,0.004030331335540646,0.004028373875342919,0.15416284237967237
2014-10-17,0.0038664601130671264,0.0038666518773799834,0.10030901010140028
2014-10-20,0.003714699575726223,0.0037503686453207613,0.19050815140577756
2014-10-21,0.003110390515988388,0.003145299269864431,0.15646689562537658
2014-10-22,0.0029171785563296593,0.00294035704408641,0.16614510911366565
2014-10-23,0.0027878692673968023,0.0027997570094673604,0.16070940929676317
2014-10-24,0.002794950948614936,0.0028077288933399556,0.06394395546824647
2014-10-27,0.0028059219229239203,0.0028058335258852483,0.10858854265184636
2014-10-28,0.0025488035917132466,0.0025539398696723197,0.1552426229221689
