date,irl
2000-09-29,[[0.27120435]]
2000-10-02,[[0.27160507]]
2000-10-03,[[0.27161664]]
2000-10-04,[[0.27901387]]
2000-10-05,[[0.28524023]]
2000-10-06,[[0.29009986]]
2000-10-09,[[0.27972955]]
2000-10-10,[[0.2738323]]
2000-10-11,[[0.28282374]]
2000-10-12,[[0.2889213]]
2000-10-13,[[0.2824446]]
2000-10-16,[[0.2803687]]
2000-10-17,[[0.2888857]]
2000-10-18,[[0.29386222]]
2000-10-19,[[0.29991812]]
2000-10-20,[[0.30481374]]
2000-10-23,[[0.30442107]]
2000-10-24,[[0.31119847]]
2000-10-25,[[0.3135621]]
2000-10-26,[[0.31931996]]
2000-10-27,[[0.32692805]]
2000-10-30,[[0.33537987]]
2000-10-31,[[0.33551705]]
2000-11-01,[[0.3429762]]
2000-11-02,[[0.3450145]]
2000-11-03,[[0.34731707]]
2000-11-06,[[0.34628594]]
2000-11-07,[[0.3431782]]
2000-11-08,[[0.34611896]]
2000-11-09,[[0.34844822]]
2000-11-10,[[0.35065034]]
2000-11-13,[[0.347988]]
2000-11-14,[[0.34822816]]
2000-11-15,[[0.3476119]]
2000-11-16,[[0.35392666]]
2000-11-17,[[0.35543528]]
2000-11-20,[[0.3551485]]
2000-11-21,[[0.3510962]]
2000-11-22,[[0.35387486]]
2000-11-24,[[0.3532797]]
2000-11-27,[[0.36124235]]
2000-11-28,[[0.34912968]]
2000-11-29,[[0.35599077]]
2000-11-30,[[0.35855836]]
2000-12-01,[[0.35974595]]
2000-12-04,[[0.35916474]]
2000-12-05,[[0.3589806]]
2000-12-06,[[0.3458974]]
2000-12-07,[[0.34267384]]
2000-12-08,[[0.3431348]]
2000-12-11,[[0.34528995]]
2000-12-12,[[0.3390845]]
2000-12-13,[[0.33799416]]
2000-12-14,[[0.33991835]]
2000-12-15,[[0.33611572]]
2000-12-18,[[0.3255939]]
2000-12-19,[[0.32660347]]
2000-12-20,[[0.32641]]
2000-12-21,[[0.31915924]]
2000-12-22,[[0.32955208]]
2000-12-26,[[0.332767]]
2000-12-27,[[0.33127812]]
2000-12-28,[[0.33416784]]
2000-12-29,[[0.3364336]]
2001-01-02,[[0.3328724]]
2001-01-03,[[0.3388145]]
2001-01-04,[[0.34961706]]
2001-01-05,[[0.34080878]]
2001-01-08,[[0.32809317]]
2001-01-09,[[0.33248264]]
2001-01-10,[[0.33470055]]
2001-01-11,[[0.33620417]]
2001-01-12,[[0.34011585]]
2001-01-16,[[0.3399337]]
2001-01-17,[[0.3551731]]
2001-01-18,[[0.35353398]]
2001-01-19,[[0.35166368]]
2001-01-22,[[0.34646225]]
2001-01-23,[[0.35498434]]
2001-01-24,[[0.34513095]]
2001-01-25,[[0.34309992]]
2001-01-26,[[0.34786332]]
2001-01-29,[[0.34889573]]
2001-01-30,[[0.35045835]]
2001-01-31,[[0.35171098]]
2001-02-01,[[0.34496194]]
2001-02-02,[[0.34110516]]
2001-02-05,[[0.33887458]]
2001-02-06,[[0.3440371]]
2001-02-07,[[0.3653465]]
2001-02-08,[[0.36375573]]
2001-02-09,[[0.36507285]]
2001-02-12,[[0.36614287]]
2001-02-13,[[0.3511554]]
2001-02-14,[[0.34593034]]
2001-02-15,[[0.36101565]]
2001-02-16,[[0.3738286]]
2001-02-20,[[0.37988287]]
2001-02-21,[[0.3806751]]
2001-02-22,[[0.38631907]]
2001-02-23,[[0.4017616]]
2001-02-26,[[0.40807554]]
2001-02-27,[[0.39436933]]
2001-02-28,[[0.40226823]]
2001-03-01,[[0.43583685]]
2001-03-02,[[0.4406629]]
2001-03-05,[[0.45109874]]
2001-03-06,[[0.46401435]]
2001-03-07,[[0.47405863]]
2001-03-08,[[0.47791034]]
2001-03-09,[[0.47954914]]
2001-03-12,[[0.46518448]]
2001-03-13,[[0.37740257]]
2001-03-14,[[0.3813315]]
2001-03-15,[[0.3476429]]
2001-03-16,[[0.35395348]]
2001-03-19,[[0.33408433]]
2001-03-20,[[0.32684547]]
2001-03-21,[[0.31716585]]
2001-03-22,[[0.31232566]]
2001-03-23,[[0.32032526]]
2001-03-26,[[0.32172185]]
2001-03-27,[[0.32471395]]
2001-03-28,[[0.30537862]]
2001-03-29,[[0.2998566]]
2001-03-30,[[0.30690384]]
2001-04-02,[[0.3136192]]
2001-04-03,[[0.30937466]]
2001-04-04,[[0.27695718]]
2001-04-05,[[0.2945559]]
2001-04-06,[[0.26064718]]
2001-04-09,[[0.2515599]]
2001-04-10,[[0.23525408]]
2001-04-11,[[0.23674011]]
2001-04-12,[[0.2414959]]
2001-04-16,[[0.24348369]]
2001-04-17,[[0.27249908]]
2001-04-18,[[0.27882624]]
2001-04-19,[[0.26570117]]
2001-04-20,[[0.2552567]]
2001-04-23,[[0.23751625]]
2001-04-24,[[0.23708656]]
2001-04-25,[[0.21539232]]
2001-04-26,[[0.211059]]
2001-04-27,[[0.21045455]]
2001-04-30,[[0.20356426]]
2001-05-01,[[0.20391372]]
2001-05-02,[[0.19747257]]
2001-05-03,[[0.19475836]]
2001-05-04,[[0.18800852]]
2001-05-07,[[0.21137041]]
2001-05-08,[[0.22903228]]
2001-05-09,[[0.21779487]]
2001-05-10,[[0.21162885]]
2001-05-11,[[0.20260626]]
2001-05-14,[[0.19838765]]
2001-05-15,[[0.19779286]]
2001-05-16,[[0.20432144]]
2001-05-17,[[0.18543613]]
2001-05-18,[[0.18812868]]
2001-05-21,[[0.18653661]]
2001-05-22,[[0.19136831]]
2001-05-23,[[0.20090222]]
2001-05-24,[[0.19772935]]
2001-05-25,[[0.20782274]]
2001-05-29,[[0.20853096]]
2001-05-30,[[0.21680453]]
2001-05-31,[[0.215951]]
2001-06-01,[[0.22002065]]
2001-06-04,[[0.2226218]]
2001-06-05,[[0.23923656]]
2001-06-06,[[0.24907342]]
2001-06-07,[[0.24065739]]
2001-06-08,[[0.25000685]]
2001-06-11,[[0.2420781]]
2001-06-12,[[0.23967266]]
2001-06-13,[[0.25434238]]
2001-06-14,[[0.2449891]]
2001-06-15,[[0.2332924]]
2001-06-18,[[0.23655924]]
2001-06-19,[[0.2913317]]
2001-06-20,[[0.30099922]]
2001-06-21,[[0.3099993]]
2001-06-22,[[0.3217682]]
2001-06-25,[[0.327843]]
2001-06-26,[[0.33240315]]
2001-06-27,[[0.35419995]]
2001-06-28,[[0.35901505]]
2001-06-29,[[0.3595723]]
2001-07-02,[[0.37353295]]
2001-07-03,[[0.37566593]]
2001-07-05,[[0.3796637]]
2001-07-06,[[0.3454103]]
2001-07-09,[[0.32319993]]
2001-07-10,[[0.3433204]]
2001-07-11,[[0.34138274]]
2001-07-12,[[0.3583799]]
2001-07-13,[[0.36467516]]
2001-07-16,[[0.36368188]]
2001-07-17,[[0.3951348]]
2001-07-18,[[0.37180936]]
2001-07-19,[[0.37697816]]
2001-07-20,[[0.37479854]]
2001-07-23,[[0.37333202]]
2001-07-24,[[0.34599188]]
2001-07-25,[[0.3380651]]
2001-07-26,[[0.3432423]]
2001-07-27,[[0.3547972]]
2001-07-30,[[0.35511696]]
2001-07-31,[[0.34167928]]
2001-08-01,[[0.3653158]]
2001-08-02,[[0.37189344]]
2001-08-03,[[0.37115175]]
2001-08-06,[[0.34810036]]
2001-08-07,[[0.3467741]]
2001-08-08,[[0.39381137]]
2001-08-09,[[0.35830808]]
2001-08-10,[[0.36022723]]
2001-08-13,[[0.36930183]]
2001-08-14,[[0.37354767]]
2001-08-15,[[0.3641721]]
2001-08-16,[[0.3708577]]
2001-08-17,[[0.38016644]]
2001-08-20,[[0.36211056]]
2001-08-21,[[0.32797194]]
2001-08-22,[[0.31187934]]
2001-08-23,[[0.33500162]]
2001-08-24,[[0.35038638]]
2001-08-27,[[0.38883477]]
2001-08-28,[[0.39209592]]
2001-08-29,[[0.34496415]]
2001-08-30,[[0.34112322]]
2001-08-31,[[0.3433348]]
2001-09-04,[[0.3735429]]
2001-09-05,[[0.384996]]
2001-09-06,[[0.4170211]]
2001-09-07,[[0.38571814]]
2001-09-10,[[0.3878916]]
2001-09-17,[[0.4134]]
2001-09-18,[[0.33878547]]
2001-09-19,[[0.39361617]]
2001-09-20,[[0.40139526]]
2001-09-21,[[0.36477157]]
2001-09-24,[[0.36279792]]
2001-09-25,[[0.316756]]
2001-09-26,[[0.32316113]]
2001-09-27,[[0.33518648]]
2001-09-28,[[0.33401993]]
2001-10-01,[[0.34376782]]
2001-10-02,[[0.4216444]]
2001-10-03,[[0.4370058]]
2001-10-04,[[0.42465594]]
2001-10-05,[[0.40388805]]
2001-10-08,[[0.38771674]]
2001-10-09,[[0.4088169]]
2001-10-10,[[0.40145752]]
2001-10-11,[[0.3894858]]
2001-10-12,[[0.36072272]]
2001-10-15,[[0.34455222]]
2001-10-16,[[0.32995832]]
2001-10-17,[[0.32963318]]
2001-10-18,[[0.30526006]]
2001-10-19,[[0.3263477]]
2001-10-22,[[0.31466097]]
2001-10-23,[[0.39550838]]
2001-10-24,[[0.3294565]]
2001-10-25,[[0.30177876]]
2001-10-26,[[0.32270384]]
2001-10-29,[[0.3003425]]
2001-10-30,[[0.26633257]]
2001-10-31,[[0.25784492]]
2001-11-01,[[0.26404843]]
2001-11-02,[[0.2490196]]
2001-11-05,[[0.24410766]]
2001-11-06,[[0.2318547]]
2001-11-07,[[0.22725046]]
2001-11-08,[[0.22247407]]
2001-11-09,[[0.2256358]]
2001-11-12,[[0.22488382]]
2001-11-13,[[0.20969486]]
2001-11-14,[[0.21636704]]
2001-11-15,[[0.23744151]]
2001-11-16,[[0.2441616]]
2001-11-19,[[0.23634192]]
2001-11-20,[[0.24262592]]
2001-11-21,[[0.2597387]]
2001-11-23,[[0.25969762]]
2001-11-26,[[0.26950675]]
2001-11-27,[[0.27665555]]
2001-11-28,[[0.21829766]]
2001-11-29,[[0.20219615]]
2001-11-30,[[0.21024662]]
2001-12-03,[[0.24035871]]
2001-12-04,[[0.29831713]]
2001-12-05,[[0.3132921]]
2001-12-06,[[0.26765952]]
2001-12-07,[[0.26980135]]
2001-12-10,[[0.271402]]
2001-12-11,[[0.26652867]]
2001-12-12,[[0.27521163]]
2001-12-13,[[0.29003215]]
2001-12-14,[[0.27632716]]
2001-12-17,[[0.29476973]]
2001-12-18,[[0.2635957]]
2001-12-19,[[0.2776073]]
2001-12-20,[[0.29355907]]
2001-12-21,[[0.29655242]]
2001-12-24,[[0.30542612]]
2001-12-26,[[0.32072893]]
2001-12-27,[[0.33882242]]
2001-12-28,[[0.34964037]]
2001-12-31,[[0.3722524]]
2002-01-02,[[0.37131932]]
2002-01-03,[[0.38934967]]
2002-01-04,[[0.38992995]]
2002-01-07,[[0.40449208]]
2002-01-08,[[0.3860107]]
2002-01-09,[[0.38593072]]
2002-01-10,[[0.3845271]]
2002-01-11,[[0.397552]]
2002-01-14,[[0.41590366]]
2002-01-15,[[0.40926564]]
2002-01-16,[[0.40960604]]
2002-01-17,[[0.38311076]]
2002-01-18,[[0.38995636]]
2002-01-22,[[0.37497303]]
2002-01-23,[[0.35984653]]
2002-01-24,[[0.3784359]]
2002-01-25,[[0.3876696]]
2002-01-28,[[0.40426898]]
2002-01-29,[[0.39580563]]
2002-01-30,[[0.3277678]]
2002-01-31,[[0.34547913]]
2002-02-01,[[0.34494713]]
2002-02-04,[[0.37376112]]
2002-02-05,[[0.2986669]]
2002-02-06,[[0.34126902]]
2002-02-07,[[0.36175334]]
2002-02-08,[[0.38790795]]
2002-02-11,[[0.3909674]]
2002-02-12,[[0.37739703]]
2002-02-13,[[0.37363988]]
2002-02-14,[[0.38695064]]
2002-02-15,[[0.3942166]]
2002-02-19,[[0.38718146]]
2002-02-20,[[0.35732806]]
2002-02-21,[[0.3606003]]
2002-02-22,[[0.33447418]]
2002-02-25,[[0.33769825]]
2002-02-26,[[0.29207313]]
2002-02-27,[[0.28518343]]
2002-02-28,[[0.31134912]]
2002-03-01,[[0.3608995]]
2002-03-04,[[0.3630609]]
2002-03-05,[[0.3621464]]
2002-03-06,[[0.3852626]]
2002-03-07,[[0.36794394]]
2002-03-08,[[0.3368562]]
2002-03-11,[[0.32474273]]
2002-03-12,[[0.31590348]]
2002-03-13,[[0.30450374]]
2002-03-14,[[0.2982391]]
2002-03-15,[[0.28907156]]
2002-03-18,[[0.27893442]]
2002-03-19,[[0.28917846]]
2002-03-20,[[0.29213366]]
2002-03-21,[[0.2804689]]
2002-03-22,[[0.28338182]]
2002-03-25,[[0.30123]]
2002-03-26,[[0.26198098]]
2002-03-27,[[0.27783933]]
2002-03-28,[[0.28871775]]
2002-04-01,[[0.2848691]]
2002-04-02,[[0.29953486]]
2002-04-03,[[0.33331686]]
2002-04-04,[[0.33770323]]
2002-04-05,[[0.3621785]]
2002-04-08,[[0.38089177]]
2002-04-09,[[0.40181702]]
2002-04-10,[[0.41208553]]
2002-04-11,[[0.4306236]]
2002-04-12,[[0.413045]]
2002-04-15,[[0.42891464]]
2002-04-16,[[0.43530893]]
2002-04-17,[[0.410667]]
