start_date,end_date,vol,naive_vol,shrinkage
1982-01-04,1982-02-04,0.007585102057817305,0.00803455454884276,1.0689993025229294e-18
1982-01-05,1982-02-05,0.007277545635482062,0.0076482971001460755,2.944689366571463e-19
1982-01-06,1982-02-06,0.007495138342640923,0.0078400317180632,0.0
1982-01-07,1982-02-07,0.00774474766519443,0.00808766800072781,9.036376978764995e-19
1982-01-08,1982-02-08,0.007630782733820783,0.00806529577632797,0.0
1982-01-11,1982-02-11,0.007710089849126761,0.008099045889848843,0.0
1982-01-12,1982-02-12,0.0076614366296693095,0.007970412890093353,0.0
1982-01-13,1982-02-13,0.00694906326229218,0.007200140121878684,0.0
1982-01-14,1982-02-14,0.006949974271296062,0.007184822403803927,0.0
1982-01-15,1982-02-15,0.007137003310180652,0.007361250694588042,0.0
1982-01-18,1982-02-18,0.006763847898449474,0.006913978429527839,8.86733657783947e-18
1982-01-19,1982-02-19,0.006746501767808917,0.0068132720179200105,9.61482833832996e-09
1982-01-20,1982-02-20,0.006922072978398933,0.006974499552577643,6.598017155415998e-09
1982-01-21,1982-02-21,0.0068272233448715865,0.006953498293830809,2.2717366370012e-10
1982-01-22,1982-02-22,0.006780731295638117,0.006983416842284802,2.82432465051364e-18
1982-01-25,1982-02-25,0.006606209913444301,0.006898287894895587,6.271892006082015e-18
1982-01-26,1982-02-26,0.0065007474974244335,0.006841990006067301,0.0
1982-01-27,1982-02-27,0.006626965970748523,0.006992605520435883,0.0
1982-01-28,1982-02-28,0.006474975336088267,0.006762482647497462,0.0
1982-01-29,1982-02-28,0.005774762703146409,0.00589837917832937,1.2052902638742239e-09
1982-02-01,1982-03-01,0.004856540967010175,0.004898776710427582,1.8095467894629642e-08
1982-02-02,1982-03-02,0.003963316072633452,0.004141333617827072,1.1430450438746638e-09
1982-02-03,1982-03-03,0.003975823570452979,0.004052507028097072,8.620725567807904e-10
1982-02-04,1982-03-04,0.004020464187767318,0.004123441735853776,1.9322226314292354e-09
1982-02-05,1982-03-05,0.00433108500822408,0.004339297015656908,0.08043737834676466
1982-02-08,1982-03-08,0.0038105650029001126,0.0038215244941949495,0.12652470530359597
1982-02-09,1982-03-09,0.003876347307192404,0.003974423740498532,0.17039624399649278
1982-02-10,1982-03-10,0.003546215778971308,0.0036397811736613105,0.1666931639712284
1982-02-11,1982-03-11,0.0037274527566222102,0.003839584524452302,0.17332984428063852
1982-02-12,1982-03-12,0.00466026575412912,0.0048222266001148985,0.20085792997680194
1982-02-16,1982-03-16,0.004509018890892856,0.0046347098067369905,0.19133490916943702
1982-02-17,1982-03-17,0.004402986710183001,0.004537127370955774,0.19333330761406273
1982-02-18,1982-03-18,0.004500920733876173,0.0045511913392693734,0.15704647948175518
1982-02-19,1982-03-19,0.004649694456798426,0.004741473868575702,0.18134087674018054
1982-02-22,1982-03-22,0.004687946984616765,0.004768057937805202,0.16887661436732568
1982-02-23,1982-03-23,0.005200653430744679,0.005434930884499061,0.22142677898834812
1982-02-24,1982-03-24,0.004982572702955575,0.005267164976699511,0.23739977527126724
1982-02-25,1982-03-25,0.005486609004900671,0.005937426214437466,0.28177797747300715
1982-02-26,1982-03-26,0.005986134914644318,0.006429134793440716,0.2865103910259229
1982-03-01,1982-04-01,0.005690352570667678,0.006069043005631988,0.27035762881913367
1982-03-02,1982-04-02,0.0057588232389898224,0.006220529648317138,0.2897487989454318
1982-03-03,1982-04-03,0.0058393034560302245,0.006430762533142165,0.32168048254856785
1982-03-04,1982-04-04,0.005909654231735307,0.006683959518246109,0.36321724935552235
1982-03-05,1982-04-05,0.006150119078450166,0.006966773411994082,0.38645252930748025
1982-03-08,1982-04-08,0.00587625318994408,0.006834011894286223,0.44336197755583184
1982-03-09,1982-04-09,0.005992592860712583,0.006606217548029699,0.43880976198979843
1982-03-10,1982-04-10,0.0059936226538070386,0.006450448712023113,0.41068504371160164
1982-03-11,1982-04-11,0.00605921086153063,0.006469400048369148,0.3822138314080953
1982-03-12,1982-04-12,0.005529714974163803,0.005868883233422444,0.3302008412569849
1982-03-15,1982-04-15,0.0054344769287714345,0.005933540272985371,0.39188814939912225
1982-03-16,1982-04-16,0.00529171142081929,0.005803373877575022,0.3930558146862932
1982-03-17,1982-04-17,0.005366934682017556,0.005930585213528683,0.40439246445164934
1982-03-18,1982-04-18,0.005355209317742137,0.006006070268058059,0.41355075983872863
1982-03-19,1982-04-19,0.005288148400229269,0.005845655129100344,0.38097558137702336
1982-03-22,1982-04-22,0.005020004534156471,0.005587655267635652,0.38559398079712215
1982-03-23,1982-04-23,0.0050447348883329276,0.005309437234098978,0.29842519328509837
1982-03-24,1982-04-24,0.0050174985390510005,0.005275350302213248,0.29821075351150983
1982-03-25,1982-04-25,0.004670532157656492,0.004761780804853226,0.22430916724643024
1982-03-26,1982-04-26,0.003999869864515831,0.004116072990379282,0.22678351059986976
1982-03-29,1982-04-29,0.005275275901521185,0.005274169213212525,0.13710149191168367
1982-03-30,1982-04-30,0.005325161001566157,0.005349894794779923,0.1617135602625519
1982-03-31,1982-04-30,0.005379161966749885,0.00540659397651987,0.15622389923973826
1982-04-01,1982-05-01,0.0052142165468515795,0.00521746762608743,0.15416284237941974
1982-04-02,1982-05-02,0.005302956237743781,0.005317963021361555,0.16391075730413943
1982-04-05,1982-05-05,0.005377957826621639,0.005385118962833467,0.055846335535307934
1982-04-06,1982-05-06,0.005955305715743352,0.0059567747348740355,0.07647336133684653
1982-04-07,1982-05-07,0.006148009426448558,0.006153413221534977,0.03342142762634459
