date,irl
2000-09-29,[[0.19720295]]
2000-10-02,[[0.1984314]]
2000-10-03,[[0.18663877]]
2000-10-04,[[0.1381787]]
2000-10-05,[[0.14522299]]
2000-10-06,[[0.11263058]]
2000-10-09,[[0.12478873]]
2000-10-10,[[0.13481185]]
2000-10-11,[[0.10682681]]
2000-10-12,[[0.11510661]]
2000-10-13,[[0.11419606]]
2000-10-16,[[0.12117636]]
2000-10-17,[[0.06163877]]
2000-10-18,[[0.04122692]]
2000-10-19,[[0.0414376]]
2000-10-20,[[0.03969222]]
2000-10-23,[[0.04423192]]
2000-10-24,[[0.04444721]]
2000-10-25,[[0.04371458]]
2000-10-26,[[0.04123446]]
2000-10-27,[[0.04296887]]
2000-10-30,[[0.04001608]]
2000-10-31,[[0.04613233]]
2000-11-01,[[0.03127399]]
2000-11-02,[[0.03103229]]
2000-11-03,[[0.02932599]]
2000-11-06,[[0.02921307]]
2000-11-07,[[0.02991179]]
2000-11-08,[[0.02717951]]
2000-11-09,[[0.02610186]]
2000-11-10,[[0.02656713]]
2000-11-13,[[0.02615058]]
2000-11-14,[[0.02553207]]
2000-11-15,[[0.04878542]]
2000-11-16,[[0.01978952]]
2000-11-17,[[0.02029929]]
2000-11-20,[[0.02713823]]
2000-11-21,[[0.0984357]]
2000-11-22,[[0.09815356]]
2000-11-24,[[0.10413009]]
2000-11-27,[[0.19107407]]
2000-11-28,[[0.24124357]]
2000-11-29,[[0.23665017]]
2000-11-30,[[0.2544396]]
2000-12-01,[[0.25312936]]
2000-12-04,[[0.4113416]]
2000-12-05,[[0.283695]]
2000-12-06,[[0.40812808]]
2000-12-07,[[0.49475783]]
2000-12-08,[[0.4659508]]
2000-12-11,[[0.39271694]]
2000-12-12,[[0.507501]]
2000-12-13,[[0.4830448]]
2000-12-14,[[0.42610624]]
2000-12-15,[[0.41845217]]
2000-12-18,[[0.24245173]]
2000-12-19,[[0.17599139]]
2000-12-20,[[0.32629377]]
2000-12-21,[[0.1577732]]
2000-12-22,[[0.14654121]]
2000-12-26,[[0.15249723]]
2000-12-27,[[0.15911472]]
