date,irl_gail
2000-01-03,[[0.59100544]]
2000-01-04,[[0.6258577]]
2000-01-05,[[0.7405531]]
2000-01-06,[[0.5847131]]
2000-01-07,[[0.40836373]]
2000-01-10,[[0.43050563]]
2000-01-11,[[0.46784854]]
2000-01-12,[[0.30981684]]
2000-01-13,[[0.318145]]
2000-01-14,[[0.3079694]]
2000-01-18,[[0.3542903]]
2000-01-19,[[0.39539135]]
2000-01-20,[[0.39845985]]
2000-01-21,[[0.43581045]]
2000-01-24,[[0.4331094]]
2000-01-25,[[0.47665706]]
2000-01-26,[[0.49184817]]
2000-01-27,[[0.5168177]]
2000-01-28,[[0.51872206]]
2000-01-31,[[0.8997745]]
2000-02-01,[[0.927411]]
2000-02-02,[[0.92581147]]
2000-02-03,[[0.9204228]]
2000-02-04,[[0.91715026]]
2000-02-07,[[0.9166846]]
2000-02-08,[[0.9379176]]
2000-02-09,[[0.93993473]]
2000-02-10,[[0.9380195]]
2000-02-11,[[0.93938893]]
2000-02-14,[[0.9096589]]
2000-02-15,[[0.9144831]]
2000-02-16,[[0.9149206]]
2000-02-17,[[0.9076091]]
2000-02-18,[[0.907392]]
2000-02-22,[[0.8799956]]
2000-02-23,[[0.8653228]]
2000-02-24,[[0.87018836]]
2000-02-25,[[0.86850893]]
2000-02-28,[[0.8830321]]
2000-02-29,[[0.8912169]]
2000-03-01,[[0.9187988]]
2000-03-02,[[0.31292188]]
2000-03-03,[[0.37671334]]
2000-03-06,[[0.9540575]]
2000-03-07,[[0.949919]]
2000-03-08,[[0.97223663]]
2000-03-09,[[0.97066283]]
2000-03-10,[[0.9597068]]
2000-03-13,[[0.93809295]]
2000-03-14,[[0.3817134]]
2000-03-15,[[0.33783382]]
2000-03-16,[[0.31198066]]
2000-03-17,[[0.22180197]]
2000-03-20,[[0.2825786]]
2000-03-21,[[0.52910006]]
2000-03-22,[[0.56963485]]
2000-03-23,[[0.599284]]
2000-03-24,[[0.62431514]]
2000-03-27,[[0.64215624]]
2000-03-28,[[0.66972405]]
2000-03-29,[[0.68325526]]
2000-03-30,[[0.64335155]]
2000-03-31,[[0.5775687]]
2000-04-03,[[0.4953317]]
2000-04-04,[[0.3600765]]
2000-04-05,[[0.3366244]]
2000-04-06,[[0.31673354]]
2000-04-07,[[0.33710092]]
2000-04-10,[[0.3840887]]
2000-04-11,[[0.3595638]]
2000-04-12,[[0.35504454]]
2000-04-13,[[0.2824871]]
2000-04-14,[[0.25841337]]
2000-04-17,[[0.2157675]]
2000-04-18,[[0.24396738]]
2000-04-19,[[0.28117663]]
2000-04-20,[[0.21426705]]
2000-04-24,[[0.22167584]]
2000-04-25,[[0.24036103]]
2000-04-26,[[0.24836132]]
2000-04-27,[[0.24318993]]
2000-04-28,[[0.2532978]]
2000-05-01,[[0.25161982]]
2000-05-02,[[0.21910349]]
2000-05-03,[[0.24443167]]
2000-05-04,[[0.25135857]]
2000-05-05,[[0.25029355]]
2000-05-08,[[0.25851226]]
2000-05-09,[[0.23973921]]
2000-05-10,[[0.26807153]]
2000-05-11,[[0.314156]]
2000-05-12,[[0.30112377]]
2000-05-15,[[0.30255646]]
2000-05-16,[[0.28918585]]
2000-05-17,[[0.2688728]]
2000-05-18,[[0.24941188]]
2000-05-19,[[0.23895237]]
2000-05-22,[[0.29474407]]
2000-05-23,[[0.29595485]]
2000-05-24,[[0.3299113]]
2000-05-25,[[0.33063197]]
2000-05-26,[[0.33483022]]
2000-05-30,[[0.3608482]]
2000-05-31,[[0.35153663]]
2000-06-01,[[0.3594998]]
2000-06-02,[[0.37313163]]
2000-06-05,[[0.39179036]]
2000-06-06,[[0.41636193]]
2000-06-07,[[0.39529842]]
2000-06-08,[[0.3535474]]
2000-06-09,[[0.35521817]]
2000-06-12,[[0.35750458]]
2000-06-13,[[0.34677795]]
2000-06-14,[[0.35250223]]
2000-06-15,[[0.387721]]
2000-06-16,[[0.36681652]]
2000-06-19,[[0.45970026]]
2000-06-20,[[0.46167478]]
2000-06-21,[[0.5171499]]
2000-06-22,[[0.4528335]]
2000-06-23,[[0.47801945]]
2000-06-26,[[0.497755]]
2000-06-27,[[0.4215737]]
2000-06-28,[[0.47314408]]
2000-06-29,[[0.5277485]]
2000-06-30,[[0.51951396]]
2000-07-03,[[0.5931618]]
2000-07-05,[[0.72454834]]
2000-07-06,[[0.74788797]]
2000-07-07,[[0.6282513]]
2000-07-10,[[0.77507436]]
2000-07-11,[[0.97338873]]
2000-07-12,[[0.9728758]]
2000-07-13,[[0.972834]]
2000-07-14,[[0.9729502]]
2000-07-17,[[0.97094417]]
2000-07-18,[[0.97158015]]
2000-07-19,[[0.97015077]]
2000-07-20,[[0.9690477]]
2000-07-21,[[0.9696033]]
2000-07-24,[[0.96774995]]
2000-07-25,[[0.9672109]]
2000-07-26,[[0.96711224]]
2000-07-27,[[0.9669255]]
2000-07-28,[[0.9633517]]
2000-07-31,[[0.95825624]]
2000-08-01,[[0.9570748]]
2000-08-02,[[0.95132124]]
2000-08-03,[[0.948751]]
2000-08-04,[[0.94581115]]
2000-08-07,[[0.94225186]]
2000-08-08,[[0.52605176]]
2000-08-09,[[0.5148983]]
2000-08-10,[[0.46353245]]
2000-08-11,[[0.3759789]]
2000-08-14,[[0.3947277]]
2000-08-15,[[0.46726215]]
2000-08-16,[[0.40314436]]
2000-08-17,[[0.3896206]]
2000-08-18,[[0.38210365]]
2000-08-21,[[0.39895236]]
2000-08-22,[[0.49735686]]
2000-08-23,[[0.47403568]]
2000-08-24,[[0.47321385]]
2000-08-25,[[0.46748993]]
2000-08-28,[[0.48201156]]
2000-08-29,[[0.38226688]]
2000-08-30,[[0.42250073]]
2000-08-31,[[0.4540224]]
2000-09-01,[[0.28700024]]
2000-09-05,[[0.29200837]]
2000-09-06,[[0.5571566]]
2000-09-07,[[0.58796495]]
2000-09-08,[[0.6038307]]
2000-09-11,[[0.5350916]]
2000-09-12,[[0.5715128]]
2000-09-13,[[0.62754]]
2000-09-14,[[0.42766243]]
2000-09-15,[[0.4110777]]
2000-09-18,[[0.40595633]]
2000-09-19,[[0.42148232]]
2000-09-20,[[0.36433274]]
2000-09-21,[[0.3423369]]
2000-09-22,[[0.3324839]]
2000-09-25,[[0.31524992]]
2000-09-26,[[0.26629412]]
2000-09-27,[[0.28004727]]
2000-09-28,[[0.29121745]]
2000-09-29,[[0.29722458]]
2000-10-02,[[0.29193556]]
