date,irl
2000-01-03,[[0.38002086]]
2000-01-04,[[0.39329866]]
2000-01-05,[[0.55297065]]
2000-01-06,[[0.454787]]
2000-01-07,[[0.54952043]]
2000-01-10,[[0.7125021]]
2000-01-11,[[0.63073474]]
2000-01-12,[[0.6033991]]
2000-01-13,[[0.58053875]]
2000-01-14,[[0.57627296]]
2000-01-18,[[0.5582569]]
2000-01-19,[[0.5577687]]
2000-01-20,[[0.43659356]]
2000-01-21,[[0.47774068]]
2000-01-24,[[0.4307108]]
2000-01-25,[[0.46784714]]
2000-01-26,[[0.45193762]]
2000-01-27,[[0.3982237]]
2000-01-28,[[0.42970487]]
2000-01-31,[[0.2707466]]
2000-02-01,[[0.2578854]]
2000-02-02,[[0.31647956]]
2000-02-03,[[0.28084224]]
2000-02-04,[[0.22453418]]
2000-02-07,[[0.21034741]]
2000-02-08,[[0.42276463]]
2000-02-09,[[0.4211707]]
2000-02-10,[[0.4242919]]
2000-02-11,[[0.42210582]]
2000-02-14,[[0.41833428]]
2000-02-15,[[0.63632107]]
2000-02-16,[[0.9646772]]
2000-02-17,[[0.43098456]]
2000-02-18,[[0.25896907]]
2000-02-22,[[0.4416455]]
2000-02-23,[[0.46351016]]
2000-02-24,[[0.46817735]]
2000-02-25,[[0.2627821]]
2000-02-28,[[0.4294143]]
2000-02-29,[[0.4332933]]
2000-03-01,[[0.5189657]]
2000-03-02,[[0.58184457]]
2000-03-03,[[0.49089184]]
2000-03-06,[[0.32329503]]
2000-03-07,[[0.5662895]]
2000-03-08,[[0.47049388]]
2000-03-09,[[0.346281]]
2000-03-10,[[0.34626585]]
2000-03-13,[[0.29638338]]
2000-03-14,[[0.2782874]]
2000-03-15,[[0.2812593]]
2000-03-16,[[0.30320364]]
2000-03-17,[[0.61437917]]
2000-03-20,[[0.641022]]
2000-03-21,[[0.7297405]]
2000-03-22,[[0.6828399]]
2000-03-23,[[0.6531203]]
2000-03-24,[[0.6560564]]
2000-03-27,[[0.6579896]]
2000-03-28,[[0.5964175]]
2000-03-29,[[0.5731814]]
2000-03-30,[[0.5839994]]
2000-03-31,[[0.5718047]]
2000-04-03,[[0.5009142]]
2000-04-04,[[0.3719017]]
2000-04-05,[[0.4164024]]
2000-04-06,[[0.43752638]]
2000-04-07,[[0.43551826]]
2000-04-10,[[0.43685937]]
2000-04-11,[[0.438881]]
2000-04-12,[[0.36954024]]
2000-04-13,[[0.38000387]]
2000-04-14,[[0.40763626]]
2000-04-17,[[0.6085277]]
2000-04-18,[[0.6384464]]
2000-04-19,[[0.6845857]]
2000-04-20,[[0.45310593]]
2000-04-24,[[0.4436349]]
2000-04-25,[[0.4462977]]
2000-04-26,[[0.5217822]]
2000-04-27,[[0.5572179]]
2000-04-28,[[0.55651855]]
2000-05-01,[[0.5527307]]
2000-05-02,[[0.50057447]]
2000-05-03,[[0.54132503]]
2000-05-04,[[0.6311576]]
2000-05-05,[[0.6121863]]
2000-05-08,[[0.43710724]]
2000-05-09,[[0.7093318]]
2000-05-10,[[0.7289765]]
2000-05-11,[[0.7597835]]
2000-05-12,[[0.78044564]]
2000-05-15,[[0.81364715]]
2000-05-16,[[0.83292365]]
2000-05-17,[[0.81088316]]
2000-05-18,[[0.82349616]]
2000-05-19,[[0.7942547]]
2000-05-22,[[0.82043725]]
2000-05-23,[[0.7906387]]
2000-05-24,[[0.8019767]]
2000-05-25,[[0.8020129]]
2000-05-26,[[0.82237923]]
2000-05-30,[[0.8014016]]
2000-05-31,[[0.84458375]]
2000-06-01,[[0.8415146]]
2000-06-02,[[0.8212013]]
2000-06-05,[[0.8650645]]
2000-06-06,[[0.8816141]]
2000-06-07,[[0.8769353]]
2000-06-08,[[0.84808165]]
2000-06-09,[[0.84033155]]
2000-06-12,[[0.833791]]
2000-06-13,[[0.85861695]]
2000-06-14,[[0.86537373]]
2000-06-15,[[0.8585503]]
2000-06-16,[[0.84330755]]
2000-06-19,[[0.8618997]]
2000-06-20,[[0.8869196]]
2000-06-21,[[0.8827532]]
2000-06-22,[[0.86616397]]
2000-06-23,[[0.8614215]]
2000-06-26,[[0.8951248]]
2000-06-27,[[0.85337853]]
2000-06-28,[[0.86854845]]
2000-06-29,[[0.8426478]]
2000-06-30,[[0.835708]]
2000-07-03,[[0.85692644]]
2000-07-05,[[0.86234593]]
2000-07-06,[[0.863603]]
2000-07-07,[[0.8515266]]
2000-07-10,[[0.8685232]]
2000-07-11,[[0.8620263]]
2000-07-12,[[0.8714024]]
2000-07-13,[[0.8805473]]
2000-07-14,[[0.8918228]]
2000-07-17,[[0.8739389]]
2000-07-18,[[0.86141014]]
2000-07-19,[[0.85715854]]
2000-07-20,[[0.859491]]
2000-07-21,[[0.8630267]]
2000-07-24,[[0.8394678]]
2000-07-25,[[0.85661256]]
2000-07-26,[[0.8646363]]
2000-07-27,[[0.86327827]]
2000-07-28,[[0.8657156]]
2000-07-31,[[0.9659386]]
2000-08-01,[[0.9659499]]
2000-08-02,[[0.8500582]]
2000-08-03,[[0.8382808]]
2000-08-04,[[0.8372249]]
2000-08-07,[[0.84903836]]
2000-08-08,[[0.87036294]]
2000-08-09,[[0.8758178]]
2000-08-10,[[0.867573]]
2000-08-11,[[0.8432815]]
2000-08-14,[[0.8633087]]
2000-08-15,[[0.86043096]]
2000-08-16,[[0.84412]]
2000-08-17,[[0.8488426]]
2000-08-18,[[0.8974236]]
2000-08-21,[[0.8023791]]
2000-08-22,[[0.97059745]]
2000-08-23,[[0.9679979]]
2000-08-24,[[0.9677583]]
2000-08-25,[[0.9671987]]
2000-08-28,[[0.966957]]
2000-08-29,[[0.815374]]
2000-08-30,[[0.79704475]]
2000-08-31,[[0.78712916]]
2000-09-01,[[0.79255754]]
2000-09-05,[[0.77056915]]
2000-09-06,[[0.781157]]
2000-09-07,[[0.7351789]]
2000-09-08,[[0.7388947]]
2000-09-11,[[0.7484529]]
2000-09-12,[[0.77826595]]
2000-09-13,[[0.714242]]
2000-09-14,[[0.6475732]]
2000-09-15,[[0.6567998]]
2000-09-18,[[0.648737]]
2000-09-19,[[0.65715694]]
2000-09-20,[[0.6088642]]
2000-09-21,[[0.56953937]]
