date,irl_gail
2000-01-03,[[0.45072082]]
2000-01-04,[[0.3883348]]
2000-01-05,[[0.44593328]]
2000-01-06,[[0.38670063]]
2000-01-07,[[0.28022593]]
2000-01-10,[[0.08197075]]
2000-01-11,[[0.08623582]]
2000-01-12,[[0.0712353]]
2000-01-13,[[0.06947324]]
2000-01-14,[[0.07211265]]
2000-01-18,[[0.07438129]]
2000-01-19,[[0.36116633]]
2000-01-20,[[0.34463704]]
2000-01-21,[[0.36996636]]
2000-01-24,[[0.34682098]]
2000-01-25,[[0.59981084]]
2000-01-26,[[0.6392245]]
2000-01-27,[[0.6409756]]
2000-01-28,[[0.6511524]]
2000-01-31,[[0.9337113]]
2000-02-01,[[0.92014194]]
2000-02-02,[[0.91834617]]
2000-02-03,[[0.9204121]]
2000-02-04,[[0.9214803]]
2000-02-07,[[0.92377055]]
2000-02-08,[[0.9404925]]
2000-02-09,[[0.9491995]]
2000-02-10,[[0.9490811]]
2000-02-11,[[0.95085263]]
2000-02-14,[[0.95767987]]
2000-02-15,[[0.95944595]]
2000-02-16,[[0.9602595]]
2000-02-17,[[0.9618424]]
2000-02-18,[[0.96331203]]
2000-02-22,[[0.96255875]]
2000-02-23,[[0.95925915]]
2000-02-24,[[0.95978963]]
2000-02-25,[[0.96038556]]
2000-02-28,[[0.95975363]]
2000-02-29,[[0.9575601]]
2000-03-01,[[0.95603716]]
2000-03-02,[[0.10507321]]
2000-03-03,[[0.1031152]]
2000-03-06,[[0.10445958]]
2000-03-07,[[0.09546962]]
2000-03-08,[[0.0909586]]
2000-03-09,[[0.32412863]]
2000-03-10,[[0.44926167]]
2000-03-13,[[0.19579405]]
2000-03-14,[[0.19242316]]
2000-03-15,[[0.08452785]]
2000-03-16,[[0.07830051]]
2000-03-17,[[0.1599009]]
2000-03-20,[[0.18019286]]
2000-03-21,[[0.20547336]]
2000-03-22,[[0.19523376]]
2000-03-23,[[0.1956175]]
2000-03-24,[[0.19459668]]
2000-03-27,[[0.19174194]]
2000-03-28,[[0.1465174]]
2000-03-29,[[0.16741627]]
2000-03-30,[[0.10627639]]
2000-03-31,[[0.09456292]]
2000-04-03,[[0.1398474]]
2000-04-04,[[0.17298347]]
2000-04-05,[[0.1512003]]
2000-04-06,[[0.15725508]]
2000-04-07,[[0.17398566]]
2000-04-10,[[0.17638063]]
2000-04-11,[[0.17197639]]
2000-04-12,[[0.17044502]]
2000-04-13,[[0.15366495]]
2000-04-14,[[0.14885092]]
2000-04-17,[[0.15238759]]
2000-04-18,[[0.14460936]]
2000-04-19,[[0.15641275]]
2000-04-20,[[0.08366629]]
2000-04-24,[[0.09013656]]
2000-04-25,[[0.12705165]]
2000-04-26,[[0.14922926]]
2000-04-27,[[0.15932846]]
2000-04-28,[[0.16231874]]
2000-05-01,[[0.16664788]]
2000-05-02,[[0.17597076]]
2000-05-03,[[0.36123365]]
2000-05-04,[[0.39877215]]
2000-05-05,[[0.41190955]]
2000-05-08,[[0.47058162]]
2000-05-09,[[0.41514915]]
2000-05-10,[[0.43019074]]
2000-05-11,[[0.40519932]]
2000-05-12,[[0.41085988]]
2000-05-15,[[0.4139717]]
2000-05-16,[[0.4470341]]
2000-05-17,[[0.41566443]]
2000-05-18,[[0.4000618]]
2000-05-19,[[0.41519618]]
2000-05-22,[[0.3919985]]
2000-05-23,[[0.3568111]]
2000-05-24,[[0.3738001]]
2000-05-25,[[0.34834746]]
2000-05-26,[[0.34449145]]
2000-05-30,[[0.35383242]]
2000-05-31,[[0.4079517]]
2000-06-01,[[0.36317238]]
2000-06-02,[[0.35322142]]
2000-06-05,[[0.17924243]]
2000-06-06,[[0.16595605]]
2000-06-07,[[0.16751093]]
2000-06-08,[[0.1265561]]
2000-06-09,[[0.14172626]]
2000-06-12,[[0.17432046]]
2000-06-13,[[0.17332256]]
2000-06-14,[[0.3389377]]
2000-06-15,[[0.4648188]]
2000-06-16,[[0.28293252]]
2000-06-19,[[0.48429587]]
2000-06-20,[[0.53777945]]
2000-06-21,[[0.56491375]]
2000-06-22,[[0.42462164]]
2000-06-23,[[0.49292386]]
2000-06-26,[[0.6940355]]
2000-06-27,[[0.47155565]]
2000-06-28,[[0.6039654]]
2000-06-29,[[0.46928146]]
2000-06-30,[[0.4215552]]
2000-07-03,[[0.44634435]]
2000-07-05,[[0.7051149]]
2000-07-06,[[0.68852633]]
2000-07-07,[[0.6861997]]
2000-07-10,[[0.74321353]]
2000-07-11,[[0.8241892]]
2000-07-12,[[0.82820034]]
2000-07-13,[[0.9751165]]
2000-07-14,[[0.97476405]]
2000-07-17,[[0.975392]]
2000-07-18,[[0.85483503]]
2000-07-19,[[0.9755963]]
2000-07-20,[[0.9757744]]
2000-07-21,[[0.97435415]]
2000-07-24,[[0.9734312]]
2000-07-25,[[0.9720422]]
2000-07-26,[[0.97182214]]
2000-07-27,[[0.9716278]]
2000-07-28,[[0.97222877]]
2000-07-31,[[0.97144777]]
2000-08-01,[[0.9698734]]
2000-08-02,[[0.970783]]
2000-08-03,[[0.97113836]]
2000-08-04,[[0.9713379]]
2000-08-07,[[0.9715619]]
2000-08-08,[[0.6503526]]
2000-08-09,[[0.6500131]]
2000-08-10,[[0.57230145]]
2000-08-11,[[0.3845958]]
2000-08-14,[[0.41896647]]
2000-08-15,[[0.47390926]]
2000-08-16,[[0.45473242]]
2000-08-17,[[0.4499565]]
2000-08-18,[[0.44261992]]
2000-08-21,[[0.45472527]]
2000-08-22,[[0.6669395]]
2000-08-23,[[0.6644461]]
2000-08-24,[[0.6769379]]
2000-08-25,[[0.66412866]]
2000-08-28,[[0.68015355]]
2000-08-29,[[0.63410866]]
2000-08-30,[[0.6126302]]
2000-08-31,[[0.5877687]]
2000-09-01,[[0.6058335]]
2000-09-05,[[0.4404445]]
2000-09-06,[[0.6868086]]
2000-09-07,[[0.7220671]]
2000-09-08,[[0.73896414]]
2000-09-11,[[0.76301944]]
2000-09-12,[[0.9759878]]
2000-09-13,[[0.87866354]]
2000-09-14,[[0.6907871]]
2000-09-15,[[0.6829765]]
2000-09-18,[[0.69950336]]
2000-09-19,[[0.6963208]]
2000-09-20,[[0.64363146]]
2000-09-21,[[0.60406274]]
2000-09-22,[[0.5932453]]
2000-09-25,[[0.58950233]]
2000-09-26,[[0.55963707]]
2000-09-27,[[0.59168214]]
2000-09-28,[[0.61812574]]
2000-09-29,[[0.5968326]]
2000-10-02,[[0.5835476]]
2000-10-03,[[0.5459273]]
2000-10-04,[[0.4384292]]
2000-10-05,[[0.4516941]]
2000-10-06,[[0.4152332]]
2000-10-09,[[0.44975105]]
2000-10-10,[[0.5112143]]
2000-10-11,[[0.41375494]]
2000-10-12,[[0.36649665]]
2000-10-13,[[0.3473394]]
2000-10-16,[[0.35222417]]
2000-10-17,[[0.3052897]]
2000-10-18,[[0.2511282]]
2000-10-19,[[0.25294703]]
2000-10-20,[[0.279813]]
2000-10-23,[[0.26159626]]
2000-10-24,[[0.236684]]
2000-10-25,[[0.22787052]]
2000-10-26,[[0.21574748]]
2000-10-27,[[0.1000275]]
2000-10-30,[[0.09944725]]
2000-10-31,[[0.13800988]]
2000-11-01,[[0.12459803]]
2000-11-02,[[0.09259531]]
2000-11-03,[[0.09215203]]
2000-11-06,[[0.09033969]]
2000-11-07,[[0.13234103]]
2000-11-08,[[0.19569188]]
2000-11-09,[[0.18315405]]
2000-11-10,[[0.14503315]]
2000-11-13,[[0.1905976]]
2000-11-14,[[0.20351794]]
2000-11-15,[[0.27217388]]
2000-11-16,[[0.23999485]]
2000-11-17,[[0.23971236]]
2000-11-20,[[0.283838]]
2000-11-21,[[0.39403367]]
2000-11-22,[[0.41692346]]
2000-11-24,[[0.45020288]]
2000-11-27,[[0.46007586]]
2000-11-28,[[0.49714115]]
2000-11-29,[[0.51921296]]
2000-11-30,[[0.5089489]]
2000-12-01,[[0.5431486]]
2000-12-04,[[0.5849043]]
2000-12-05,[[0.48648015]]
2000-12-06,[[0.5023681]]
2000-12-07,[[0.5204806]]
2000-12-08,[[0.51618576]]
2000-12-11,[[0.51474696]]
2000-12-12,[[0.54222995]]
2000-12-13,[[0.5509803]]
2000-12-14,[[0.5188563]]
2000-12-15,[[0.4837482]]
2000-12-18,[[0.45711488]]
2000-12-19,[[0.38995153]]
2000-12-20,[[0.41495085]]
2000-12-21,[[0.29355612]]
2000-12-22,[[0.26204407]]
2000-12-26,[[0.24252504]]
2000-12-27,[[0.2504263]]
2000-12-28,[[0.23744592]]
2000-12-29,[[0.22076562]]
2001-01-02,[[0.2219666]]
2001-01-03,[[0.22442636]]
2001-01-04,[[0.38932967]]
2001-01-05,[[0.41030213]]
2001-01-08,[[0.676855]]
2001-01-09,[[0.66298026]]
2001-01-10,[[0.622458]]
2001-01-11,[[0.63055915]]
2001-01-12,[[0.651012]]
2001-01-16,[[0.57266814]]
2001-01-17,[[0.3114259]]
2001-01-18,[[0.30281347]]
2001-01-19,[[0.37901253]]
2001-01-22,[[0.40160638]]
2001-01-23,[[0.35334104]]
2001-01-24,[[0.52535427]]
2001-01-25,[[0.53804314]]
2001-01-26,[[0.4014656]]
2001-01-29,[[0.30806917]]
2001-01-30,[[0.2562299]]
2001-01-31,[[0.22042784]]
2001-02-01,[[0.19730878]]
2001-02-02,[[0.23526487]]
2001-02-05,[[0.22890815]]
2001-02-06,[[0.3098391]]
2001-02-07,[[0.29978353]]
2001-02-08,[[0.29071015]]
2001-02-09,[[0.28554693]]
2001-02-12,[[0.2876011]]
2001-02-13,[[0.2805099]]
2001-02-14,[[0.21505436]]
2001-02-15,[[0.08440223]]
2001-02-16,[[0.07703885]]
2001-02-20,[[0.07530817]]
2001-02-21,[[0.07506788]]
2001-02-22,[[0.07753077]]
2001-02-23,[[0.08219612]]
2001-02-26,[[0.08400571]]
2001-02-27,[[0.08920231]]
2001-02-28,[[0.09137696]]
2001-03-01,[[0.08908999]]
2001-03-02,[[0.1024197]]
2001-03-05,[[0.11093822]]
2001-03-06,[[0.10960171]]
2001-03-07,[[0.09705633]]
2001-03-08,[[0.09963194]]
2001-03-09,[[0.09633976]]
2001-03-12,[[0.09006405]]
2001-03-13,[[0.09047595]]
2001-03-14,[[0.08866104]]
2001-03-15,[[0.08567643]]
2001-03-16,[[0.08928791]]
2001-03-19,[[0.08936754]]
2001-03-20,[[0.08491141]]
2001-03-21,[[0.08150885]]
2001-03-22,[[0.08330667]]
2001-03-23,[[0.08382055]]
2001-03-26,[[0.08107442]]
2001-03-27,[[0.07831466]]
2001-03-28,[[0.07272846]]
2001-03-29,[[0.07174668]]
2001-03-30,[[0.07117563]]
2001-04-02,[[0.06899798]]
2001-04-03,[[0.07507652]]
2001-04-04,[[0.11844695]]
2001-04-05,[[0.11158571]]
2001-04-06,[[0.15838018]]
2001-04-09,[[0.1576195]]
2001-04-10,[[0.15610775]]
2001-04-11,[[0.14497548]]
2001-04-12,[[0.17634743]]
2001-04-16,[[0.18219027]]
2001-04-17,[[0.16451243]]
2001-04-18,[[0.15674934]]
2001-04-19,[[0.13149631]]
2001-04-20,[[0.13016239]]
2001-04-23,[[0.13377798]]
2001-04-24,[[0.14810702]]
2001-04-25,[[0.14513153]]
2001-04-26,[[0.19289273]]
2001-04-27,[[0.1752916]]
2001-04-30,[[0.1443628]]
2001-05-01,[[0.19915044]]
2001-05-02,[[0.1465902]]
2001-05-03,[[0.12003165]]
2001-05-04,[[0.14490646]]
2001-05-07,[[0.15077299]]
2001-05-08,[[0.17432195]]
2001-05-09,[[0.18581873]]
2001-05-10,[[0.17881986]]
2001-05-11,[[0.1612379]]
2001-05-14,[[0.13703442]]
2001-05-15,[[0.13804674]]
2001-05-16,[[0.08812353]]
2001-05-17,[[0.24400958]]
2001-05-18,[[0.2477836]]
2001-05-21,[[0.2002146]]
2001-05-22,[[0.14092386]]
2001-05-23,[[0.05051041]]
2001-05-24,[[0.05070969]]
2001-05-25,[[0.04527968]]
2001-05-29,[[0.04025489]]
2001-05-30,[[0.03203785]]
2001-05-31,[[0.03383714]]
2001-06-01,[[0.04425672]]
2001-06-04,[[0.06308889]]
2001-06-05,[[0.05572394]]
2001-06-06,[[0.07445714]]
2001-06-07,[[0.05454588]]
2001-06-08,[[0.06846774]]
2001-06-11,[[0.05582312]]
2001-06-12,[[0.07351202]]
2001-06-13,[[0.09805125]]
2001-06-14,[[0.08097398]]
2001-06-15,[[0.05831954]]
2001-06-18,[[0.08147004]]
2001-06-19,[[0.15293542]]
2001-06-20,[[0.16129956]]
2001-06-21,[[0.16167682]]
2001-06-22,[[0.12216112]]
2001-06-25,[[0.15051147]]
2001-06-26,[[0.19803813]]
2001-06-27,[[0.25147435]]
2001-06-28,[[0.25606692]]
2001-06-29,[[0.27597314]]
