date,irl_gail
2000-01-03,[[0.13192618]]
2000-01-04,[[0.1583134]]
2000-01-05,[[0.46177167]]
2000-01-06,[[0.14159906]]
2000-01-07,[[0.09097755]]
2000-01-10,[[0.09123328]]
2000-01-11,[[0.12721401]]
2000-01-12,[[0.08663815]]
2000-01-13,[[0.08272755]]
2000-01-14,[[0.08562374]]
2000-01-18,[[0.08972025]]
2000-01-19,[[0.0871602]]
2000-01-20,[[0.06773061]]
2000-01-21,[[0.06797361]]
2000-01-24,[[0.07407388]]
2000-01-25,[[0.14411727]]
2000-01-26,[[0.18863681]]
2000-01-27,[[0.1903202]]
2000-01-28,[[0.19541648]]
2000-01-31,[[0.45686847]]
2000-02-01,[[0.793645]]
2000-02-02,[[0.79191697]]
2000-02-03,[[0.80092454]]
2000-02-04,[[0.8068576]]
2000-02-07,[[0.82302064]]
2000-02-08,[[0.84157056]]
2000-02-09,[[0.849222]]
2000-02-10,[[0.7199273]]
2000-02-11,[[0.8556745]]
2000-02-14,[[0.8791053]]
2000-02-15,[[0.88931334]]
2000-02-16,[[0.89087284]]
2000-02-17,[[0.891902]]
2000-02-18,[[0.89143634]]
2000-02-22,[[0.88994825]]
2000-02-23,[[0.89873785]]
2000-02-24,[[0.8951281]]
2000-02-25,[[0.27727982]]
2000-02-28,[[0.1672036]]
2000-02-29,[[0.27976343]]
2000-03-01,[[0.28833884]]
2000-03-02,[[0.03635436]]
2000-03-03,[[0.03437051]]
2000-03-06,[[0.03355044]]
2000-03-07,[[0.02883586]]
2000-03-08,[[0.23980531]]
2000-03-09,[[0.09802702]]
2000-03-10,[[0.06387976]]
2000-03-13,[[0.0243032]]
2000-03-14,[[0.02289805]]
2000-03-15,[[0.02236059]]
2000-03-16,[[0.01941597]]
2000-03-17,[[0.04238871]]
2000-03-20,[[0.04091597]]
2000-03-21,[[0.16549817]]
2000-03-22,[[0.15071914]]
2000-03-23,[[0.13254228]]
2000-03-24,[[0.13858807]]
2000-03-27,[[0.13716379]]
2000-03-28,[[0.14197642]]
2000-03-29,[[0.14863247]]
2000-03-30,[[0.13947618]]
2000-03-31,[[0.12777305]]
2000-04-03,[[0.14177957]]
2000-04-04,[[0.14022058]]
2000-04-05,[[0.14444259]]
2000-04-06,[[0.13432959]]
2000-04-07,[[0.13907084]]
2000-04-10,[[0.12197059]]
2000-04-11,[[0.12367925]]
2000-04-12,[[0.09488556]]
2000-04-13,[[0.08880171]]
2000-04-14,[[0.10043067]]
2000-04-17,[[0.16447291]]
2000-04-18,[[0.248741]]
2000-04-19,[[0.25577974]]
2000-04-20,[[0.05651927]]
2000-04-24,[[0.0407508]]
2000-04-25,[[0.0379169]]
2000-04-26,[[0.0386847]]
2000-04-27,[[0.04405019]]
2000-04-28,[[0.04402769]]
2000-05-01,[[0.04686892]]
2000-05-02,[[0.04400247]]
2000-05-03,[[0.08793056]]
2000-05-04,[[0.10433772]]
2000-05-05,[[0.12932277]]
2000-05-08,[[0.10678184]]
2000-05-09,[[0.18498924]]
2000-05-10,[[0.2078937]]
2000-05-11,[[0.22581425]]
2000-05-12,[[0.23035601]]
2000-05-15,[[0.21808758]]
2000-05-16,[[0.33921695]]
2000-05-17,[[0.3197539]]
2000-05-18,[[0.37564737]]
2000-05-19,[[0.43416288]]
2000-05-22,[[0.4909294]]
2000-05-23,[[0.4907069]]
2000-05-24,[[0.49748763]]
2000-05-25,[[0.5244183]]
2000-05-26,[[0.55028564]]
2000-05-30,[[0.5481406]]
2000-05-31,[[0.59817195]]
2000-06-01,[[0.58404684]]
2000-06-02,[[0.39065802]]
2000-06-05,[[0.58416116]]
2000-06-06,[[0.64592314]]
2000-06-07,[[0.5945168]]
2000-06-08,[[0.56457824]]
2000-06-09,[[0.04381612]]
2000-06-12,[[0.05153048]]
2000-06-13,[[0.55330646]]
2000-06-14,[[0.5753419]]
2000-06-15,[[0.60412943]]
2000-06-16,[[0.586005]]
2000-06-19,[[0.64455783]]
2000-06-20,[[0.64991355]]
2000-06-21,[[0.9024498]]
2000-06-22,[[0.6882304]]
2000-06-23,[[0.90208817]]
2000-06-26,[[0.9027591]]
2000-06-27,[[0.685468]]
2000-06-28,[[0.90739137]]
2000-06-29,[[0.6466657]]
