date,irl_gail
2000-09-29,[[0.71728134]]
2000-10-02,[[0.7233843]]
2000-10-03,[[0.60520005]]
2000-10-04,[[0.46708274]]
2000-10-05,[[0.46530765]]
2000-10-06,[[0.46948248]]
2000-10-09,[[0.61663944]]
2000-10-10,[[0.57831943]]
2000-10-11,[[0.4163915]]
2000-10-12,[[0.24337313]]
2000-10-13,[[0.24788189]]
2000-10-16,[[0.37619594]]
2000-10-17,[[0.22443298]]
2000-10-18,[[0.5419819]]
2000-10-19,[[0.22826418]]
2000-10-20,[[0.1972974]]
2000-10-23,[[0.19250536]]
2000-10-24,[[0.18367204]]
2000-10-25,[[0.18640342]]
2000-10-26,[[0.18378106]]
2000-10-27,[[0.1818128]]
2000-10-30,[[0.17634827]]
2000-10-31,[[0.2860875]]
2000-11-01,[[0.42338404]]
2000-11-02,[[0.4702729]]
2000-11-03,[[0.35692024]]
2000-11-06,[[0.36193115]]
2000-11-07,[[0.46552065]]
2000-11-08,[[0.50217515]]
2000-11-09,[[0.5538473]]
2000-11-10,[[0.5560707]]
2000-11-13,[[0.46616977]]
2000-11-14,[[0.5685721]]
2000-11-15,[[0.5946125]]
2000-11-16,[[0.64076996]]
2000-11-17,[[0.5878188]]
2000-11-20,[[0.6677394]]
2000-11-21,[[0.65041685]]
2000-11-22,[[0.6278745]]
2000-11-24,[[0.6338516]]
2000-11-27,[[0.6496326]]
2000-11-28,[[0.63458055]]
2000-11-29,[[0.74108523]]
2000-11-30,[[0.63090926]]
2000-12-01,[[0.7676269]]
2000-12-04,[[0.65639466]]
2000-12-05,[[0.7297164]]
2000-12-06,[[0.7892544]]
2000-12-07,[[0.68830335]]
2000-12-08,[[0.76689637]]
2000-12-11,[[0.7817603]]
2000-12-12,[[0.7672966]]
2000-12-13,[[0.7697145]]
2000-12-14,[[0.7772445]]
2000-12-15,[[0.7619449]]
2000-12-18,[[0.80148125]]
2000-12-19,[[0.77182066]]
2000-12-20,[[0.784788]]
2000-12-21,[[0.7783096]]
2000-12-22,[[0.76727855]]
2000-12-26,[[0.72663397]]
2000-12-27,[[0.7578877]]
2000-12-28,[[0.7606876]]
2000-12-29,[[0.7591684]]
2001-01-02,[[0.73849475]]
2001-01-03,[[0.7295391]]
2001-01-04,[[0.73984987]]
2001-01-05,[[0.23406214]]
2001-01-08,[[0.43608153]]
2001-01-09,[[0.58922076]]
2001-01-10,[[0.5229652]]
2001-01-11,[[0.6092126]]
2001-01-12,[[0.58723986]]
2001-01-16,[[0.56895244]]
2001-01-17,[[0.57638305]]
2001-01-18,[[0.55860084]]
2001-01-19,[[0.512999]]
2001-01-22,[[0.30423445]]
2001-01-23,[[0.14048886]]
2001-01-24,[[0.7988886]]
2001-01-25,[[0.8043059]]
2001-01-26,[[0.8084401]]
2001-01-29,[[0.6915173]]
2001-01-30,[[0.5886783]]
2001-01-31,[[0.64894426]]
2001-02-01,[[0.6145302]]
2001-02-02,[[0.5620148]]
2001-02-05,[[0.5288589]]
2001-02-06,[[0.21912697]]
2001-02-07,[[0.23896909]]
2001-02-08,[[0.2345128]]
2001-02-09,[[0.23340297]]
2001-02-12,[[0.22843194]]
2001-02-13,[[0.24874043]]
2001-02-14,[[0.5986167]]
2001-02-15,[[0.40091044]]
2001-02-16,[[0.23184466]]
2001-02-20,[[0.22385296]]
2001-02-21,[[0.22186083]]
2001-02-22,[[0.22198755]]
2001-02-23,[[0.22290155]]
2001-02-26,[[0.22033387]]
2001-02-27,[[0.40405908]]
2001-02-28,[[0.5973151]]
2001-03-01,[[0.45503876]]
2001-03-02,[[0.21091992]]
2001-03-05,[[0.6789874]]
2001-03-06,[[0.20207533]]
2001-03-07,[[0.20197272]]
2001-03-08,[[0.20066926]]
2001-03-09,[[0.20015055]]
2001-03-12,[[0.19856608]]
2001-03-13,[[0.19106907]]
2001-03-14,[[0.19055825]]
2001-03-15,[[0.18980339]]
2001-03-16,[[0.19255164]]
2001-03-19,[[0.19622421]]
2001-03-20,[[0.18639311]]
2001-03-21,[[0.18763477]]
2001-03-22,[[0.1868507]]
2001-03-23,[[0.18729603]]
2001-03-26,[[0.18314567]]
2001-03-27,[[0.18142211]]
2001-03-28,[[0.18396512]]
2001-03-29,[[0.180599]]
2001-03-30,[[0.18408781]]
2001-04-02,[[0.1818161]]
2001-04-03,[[0.356992]]
2001-04-04,[[0.17349625]]
2001-04-05,[[0.17650369]]
2001-04-06,[[0.16372237]]
2001-04-09,[[0.3256702]]
2001-04-10,[[0.4747893]]
2001-04-11,[[0.44792813]]
2001-04-12,[[0.33365712]]
2001-04-16,[[0.3332281]]
2001-04-17,[[0.4254955]]
2001-04-18,[[0.505055]]
2001-04-19,[[0.5080046]]
2001-04-20,[[0.52102286]]
2001-04-23,[[0.47712854]]
2001-04-24,[[0.52199596]]
2001-04-25,[[0.5304178]]
2001-04-26,[[0.33746794]]
2001-04-27,[[0.55445266]]
2001-04-30,[[0.54093075]]
2001-05-01,[[0.33423975]]
2001-05-02,[[0.4896947]]
2001-05-03,[[0.34530693]]
2001-05-04,[[0.13879868]]
