date,irl
2000-01-03,[[0.23860762]]
2000-01-04,[[0.30331007]]
2000-01-05,[[0.6812249]]
2000-01-06,[[0.28785828]]
2000-01-07,[[0.20692298]]
2000-01-10,[[0.22009593]]
2000-01-11,[[0.3180981]]
2000-01-12,[[0.23820615]]
2000-01-13,[[0.2295999]]
2000-01-14,[[0.23535609]]
2000-01-18,[[0.24779773]]
2000-01-19,[[0.25724623]]
2000-01-20,[[0.21207419]]
2000-01-21,[[0.20981717]]
2000-01-24,[[0.22191444]]
2000-01-25,[[0.36024714]]
2000-01-26,[[0.42633262]]
2000-01-27,[[0.4267247]]
2000-01-28,[[0.42534894]]
2000-01-31,[[0.7324661]]
2000-02-01,[[0.9859431]]
2000-02-02,[[0.9855436]]
2000-02-03,[[0.98537207]]
2000-02-04,[[0.9852141]]
2000-02-07,[[0.98463017]]
2000-02-08,[[0.98449695]]
2000-02-09,[[0.9831146]]
2000-02-10,[[0.9214941]]
2000-02-11,[[0.98292345]]
2000-02-14,[[0.9805019]]
2000-02-15,[[0.9782411]]
2000-02-16,[[0.976628]]
2000-02-17,[[0.97479045]]
2000-02-18,[[0.9728112]]
2000-02-22,[[0.97139674]]
2000-02-23,[[0.96874046]]
2000-02-24,[[0.9676316]]
2000-02-25,[[0.38836724]]
2000-02-28,[[0.25159883]]
2000-02-29,[[0.3858114]]
2000-03-01,[[0.44882444]]
2000-03-02,[[0.07414439]]
2000-03-03,[[0.07239324]]
2000-03-06,[[0.07537732]]
2000-03-07,[[0.0764465]]
2000-03-08,[[0.45493746]]
2000-03-09,[[0.24453211]]
2000-03-10,[[0.17853352]]
2000-03-13,[[0.0765461]]
2000-03-14,[[0.07604748]]
2000-03-15,[[0.07411551]]
2000-03-16,[[0.07531378]]
2000-03-17,[[0.1778248]]
2000-03-20,[[0.17445013]]
2000-03-21,[[0.4473051]]
2000-03-22,[[0.4153248]]
2000-03-23,[[0.37874496]]
2000-03-24,[[0.39327216]]
2000-03-27,[[0.38219133]]
2000-03-28,[[0.39641362]]
2000-03-29,[[0.39799407]]
2000-03-30,[[0.3826352]]
2000-03-31,[[0.35452813]]
2000-04-03,[[0.3623552]]
2000-04-04,[[0.35869396]]
2000-04-05,[[0.3655537]]
2000-04-06,[[0.3459438]]
2000-04-07,[[0.35080656]]
2000-04-10,[[0.3133149]]
2000-04-11,[[0.31110066]]
2000-04-12,[[0.2580085]]
