date,irl
2000-01-03,[[0.3696553]]
2000-01-04,[[0.31661907]]
2000-01-05,[[0.37938747]]
2000-01-06,[[0.32447088]]
2000-01-07,[[0.2426945]]
2000-01-10,[[0.10440895]]
2000-01-11,[[0.10051242]]
2000-01-12,[[0.09375513]]
2000-01-13,[[0.09340498]]
2000-01-14,[[0.0951317]]
2000-01-18,[[0.09629992]]
2000-01-19,[[0.30773532]]
2000-01-20,[[0.29488742]]
2000-01-21,[[0.32104272]]
2000-01-24,[[0.30344322]]
2000-01-25,[[0.5440645]]
2000-01-26,[[0.5664997]]
2000-01-27,[[0.5574566]]
2000-01-28,[[0.55458003]]
2000-01-31,[[0.7984654]]
2000-02-01,[[0.77455026]]
2000-02-02,[[0.7666582]]
2000-02-03,[[0.77081513]]
2000-02-04,[[0.77594817]]
2000-02-07,[[0.7812848]]
2000-02-08,[[0.7992476]]
2000-02-09,[[0.8187972]]
2000-02-10,[[0.82572806]]
2000-02-11,[[0.82931316]]
2000-02-14,[[0.85033184]]
2000-02-15,[[0.84733963]]
2000-02-16,[[0.8446959]]
2000-02-17,[[0.84240043]]
2000-02-18,[[0.8399428]]
2000-02-22,[[0.8375035]]
2000-02-23,[[0.821432]]
2000-02-24,[[0.8134154]]
2000-02-25,[[0.8093962]]
2000-02-28,[[0.8044448]]
2000-02-29,[[0.811085]]
2000-03-01,[[0.810436]]
2000-03-02,[[0.09124845]]
2000-03-03,[[0.0917083]]
2000-03-06,[[0.09444958]]
2000-03-07,[[0.09198976]]
2000-03-08,[[0.08738545]]
2000-03-09,[[0.2238045]]
2000-03-10,[[0.3113413]]
2000-03-13,[[0.1464625]]
2000-03-14,[[0.14700994]]
2000-03-15,[[0.08537742]]
2000-03-16,[[0.08098295]]
2000-03-17,[[0.13587305]]
2000-03-20,[[0.15487811]]
2000-03-21,[[0.1728965]]
2000-03-22,[[0.17471397]]
2000-03-23,[[0.18071666]]
2000-03-24,[[0.18788481]]
2000-03-27,[[0.19626081]]
2000-03-28,[[0.15986851]]
2000-03-29,[[0.18465108]]
2000-03-30,[[0.14014521]]
2000-03-31,[[0.14105457]]
2000-04-03,[[0.17967844]]
2000-04-04,[[0.22132298]]
2000-04-05,[[0.19840053]]
2000-04-06,[[0.20617703]]
2000-04-07,[[0.21586454]]
2000-04-10,[[0.21096095]]
2000-04-11,[[0.20779985]]
2000-04-12,[[0.20287743]]
2000-04-13,[[0.1905599]]
2000-04-14,[[0.18902987]]
2000-04-17,[[0.20468703]]
2000-04-18,[[0.18050003]]
2000-04-19,[[0.18243966]]
2000-04-20,[[0.11333001]]
2000-04-24,[[0.11377099]]
2000-04-25,[[0.13505292]]
2000-04-26,[[0.14718387]]
2000-04-27,[[0.14957252]]
2000-04-28,[[0.14755493]]
2000-05-01,[[0.14595905]]
2000-05-02,[[0.13924572]]
2000-05-03,[[0.24135554]]
2000-05-04,[[0.2618242]]
2000-05-05,[[0.2688648]]
2000-05-08,[[0.31221703]]
2000-05-09,[[0.26310503]]
2000-05-10,[[0.2681895]]
2000-05-11,[[0.24227056]]
2000-05-12,[[0.24128574]]
2000-05-15,[[0.23869482]]
2000-05-16,[[0.2879724]]
2000-05-17,[[0.28175348]]
2000-05-18,[[0.27396914]]
2000-05-19,[[0.2931276]]
2000-05-22,[[0.27963477]]
2000-05-23,[[0.27078402]]
2000-05-24,[[0.28057224]]
2000-05-25,[[0.26005596]]
2000-05-26,[[0.26258564]]
2000-05-30,[[0.26563007]]
2000-05-31,[[0.2896433]]
2000-06-01,[[0.26354164]]
2000-06-02,[[0.26761112]]
2000-06-05,[[0.16250241]]
2000-06-06,[[0.16304159]]
2000-06-07,[[0.1636697]]
2000-06-08,[[0.1443223]]
2000-06-09,[[0.15348232]]
2000-06-12,[[0.17527094]]
2000-06-13,[[0.17641053]]
2000-06-14,[[0.29754183]]
2000-06-15,[[0.40157238]]
2000-06-16,[[0.2536709]]
2000-06-19,[[0.4133925]]
2000-06-20,[[0.46880618]]
2000-06-21,[[0.49778336]]
