date,irl_gail
2000-01-03,[[0.37302172]]
2000-01-04,[[0.37291676]]
2000-01-05,[[0.53466]]
2000-01-06,[[0.43928704]]
2000-01-07,[[0.54908496]]
2000-01-10,[[0.7022029]]
2000-01-11,[[0.6387911]]
2000-01-12,[[0.62937653]]
2000-01-13,[[0.60915786]]
2000-01-14,[[0.60125345]]
2000-01-18,[[0.57668334]]
2000-01-19,[[0.57409734]]
2000-01-20,[[0.44357854]]
2000-01-21,[[0.488564]]
2000-01-24,[[0.4358018]]
2000-01-25,[[0.4912683]]
2000-01-26,[[0.4732865]]
2000-01-27,[[0.41280228]]
2000-01-28,[[0.450846]]
2000-01-31,[[0.2952883]]
2000-02-01,[[0.28815275]]
2000-02-02,[[0.3596848]]
2000-02-03,[[0.31776333]]
2000-02-04,[[0.250336]]
2000-02-07,[[0.23445302]]
2000-02-08,[[0.44845304]]
2000-02-09,[[0.4326993]]
2000-02-10,[[0.43813774]]
2000-02-11,[[0.43262985]]
2000-02-14,[[0.42514977]]
2000-02-15,[[0.61691576]]
2000-02-16,[[0.9313595]]
2000-02-17,[[0.41111165]]
2000-02-18,[[0.24373472]]
2000-02-22,[[0.42529842]]
2000-02-23,[[0.46261546]]
2000-02-24,[[0.46756917]]
2000-02-25,[[0.26027852]]
2000-02-28,[[0.41055018]]
2000-02-29,[[0.42161712]]
2000-03-01,[[0.51181895]]
2000-03-02,[[0.55596185]]
2000-03-03,[[0.45506632]]
2000-03-06,[[0.29903883]]
2000-03-07,[[0.5274811]]
2000-03-08,[[0.43153748]]
2000-03-09,[[0.31661832]]
2000-03-10,[[0.31639344]]
2000-03-13,[[0.2659341]]
2000-03-14,[[0.24917358]]
2000-03-15,[[0.2546688]]
2000-03-16,[[0.28205383]]
2000-03-17,[[0.59155256]]
2000-03-20,[[0.6114782]]
2000-03-21,[[0.6777015]]
2000-03-22,[[0.6390465]]
2000-03-23,[[0.60794735]]
2000-03-24,[[0.6037783]]
2000-03-27,[[0.5990455]]
2000-03-28,[[0.5479077]]
2000-03-29,[[0.5334211]]
2000-03-30,[[0.54662746]]
2000-03-31,[[0.5391783]]
2000-04-03,[[0.46553558]]
2000-04-04,[[0.34000733]]
2000-04-05,[[0.38876575]]
2000-04-06,[[0.41172284]]
2000-04-07,[[0.40668032]]
2000-04-10,[[0.40873742]]
2000-04-11,[[0.41029567]]
2000-04-12,[[0.34991837]]
2000-04-13,[[0.36593574]]
2000-04-14,[[0.39566043]]
2000-04-17,[[0.5968142]]
2000-04-18,[[0.60086155]]
2000-04-19,[[0.63613075]]
2000-04-20,[[0.41653875]]
2000-04-24,[[0.41094795]]
2000-04-25,[[0.40525305]]
2000-04-26,[[0.46515718]]
2000-04-27,[[0.5052057]]
2000-04-28,[[0.5035545]]
2000-05-01,[[0.49721572]]
2000-05-02,[[0.45181066]]
2000-05-03,[[0.49804282]]
2000-05-04,[[0.59158945]]
2000-05-05,[[0.57559276]]
2000-05-08,[[0.40901825]]
2000-05-09,[[0.6673995]]
2000-05-10,[[0.6817367]]
2000-05-11,[[0.70332754]]
2000-05-12,[[0.7272658]]
2000-05-15,[[0.76120126]]
2000-05-16,[[0.7857018]]
2000-05-17,[[0.7682692]]
2000-05-18,[[0.7838129]]
2000-05-19,[[0.76354855]]
2000-05-22,[[0.7875512]]
2000-05-23,[[0.7599602]]
2000-05-24,[[0.766152]]
2000-05-25,[[0.76691544]]
2000-05-26,[[0.78635216]]
2000-05-30,[[0.7546432]]
2000-05-31,[[0.8128793]]
2000-06-01,[[0.8021701]]
2000-06-02,[[0.78768075]]
2000-06-05,[[0.82017004]]
2000-06-06,[[0.8353141]]
2000-06-07,[[0.83412695]]
2000-06-08,[[0.8139547]]
2000-06-09,[[0.8079618]]
2000-06-12,[[0.8041301]]
2000-06-13,[[0.81925744]]
2000-06-14,[[0.8243723]]
2000-06-15,[[0.81776035]]
2000-06-16,[[0.8050514]]
2000-06-19,[[0.8152553]]
2000-06-20,[[0.83776534]]
2000-06-21,[[0.83120537]]
2000-06-22,[[0.8163122]]
2000-06-23,[[0.8138183]]
