start_date,end_date,vol,naive_vol,shrinkage
1982-01-04,1982-02-04,0.007851707267306978,0.00806859081766857,0.5
1982-01-05,1982-02-05,0.007492828527113062,0.007710038012438809,0.5000000592134992
1982-01-06,1982-02-06,0.007695790302368701,0.007900031789875691,0.5000000066501787
1982-01-07,1982-02-07,0.00793854440551613,0.008144729987497221,0.5
1982-01-08,1982-02-08,0.007858605017559885,0.008073550914242514,0.5
1982-01-11,1982-02-11,0.007943706468892415,0.008169053224334758,0.5
1982-01-12,1982-02-12,0.007821328783987018,0.00804168306489236,0.5
1982-01-13,1982-02-13,0.006995065650216312,0.007116834131336801,0.5
1982-01-14,1982-02-14,0.007044818851908082,0.007159794934084436,0.5
1982-01-15,1982-02-15,0.007233606160959931,0.0073589588307053,0.5
1982-01-18,1982-02-18,0.006809194918942231,0.006899470035895594,0.5
1982-01-19,1982-02-19,0.006747623212895798,0.0068042656584246484,0.5
1982-01-20,1982-02-20,0.006908031049569093,0.006964341240683659,0.5000000202595325
1982-01-21,1982-02-21,0.006845029330426908,0.006935346312617524,0.5000000022308438
1982-01-22,1982-02-22,0.006854742960774587,0.006979704659823904,0.5
1982-01-25,1982-02-25,0.006681212143594621,0.006808008918663109,0.5000000235758683
1982-01-26,1982-02-26,0.006612874501400882,0.006755451573908397,0.5
1982-01-27,1982-02-27,0.006748344155994641,0.006900666880482833,0.5
1982-01-28,1982-02-28,0.006584507224417845,0.006721916528110065,0.5
1982-01-29,1982-02-28,0.005702717558692877,0.005700426491322774,0.7312442635695086
1982-02-01,1982-03-01,0.004747594556434715,0.004733262900447804,0.7297890720539839
1982-02-02,1982-03-02,0.0038558708450935294,0.0038666761693877077,1.9354240044126751
1982-02-03,1982-03-03,0.003774031824183979,0.00379525938327597,1.9354240044126751
1982-02-04,1982-03-04,0.003908326951034533,0.003889360157472334,0.7312442635695086
1982-02-05,1982-03-05,0.0037751421750026903,0.004040425405664098,2.0
1982-02-08,1982-03-08,0.003656119407685631,0.003737576179779627,2.0
1982-02-09,1982-03-09,0.0037911307027066092,0.00388306986579317,1.9999999954275554
1982-02-10,1982-03-10,0.003605694336987018,0.0036436393856545232,1.3006104049387506
1982-02-11,1982-03-11,0.003829660211759621,0.0038670089299392136,1.2818306728276931
1982-02-12,1982-03-12,0.004925411469027018,0.004939826802253668,1.2392180967217716
1982-02-16,1982-03-16,0.004771536784131267,0.004772790039233452,1.1006227580505645
1982-02-17,1982-03-17,0.004653696453677473,0.00466483292502036,1.1857771419215075
1982-02-18,1982-03-18,0.004646203844963333,0.00465013133744716,1.147616206993824
1982-02-19,1982-03-19,0.004825508388339097,0.004843348864733237,1.2820640348078585
1982-02-22,1982-03-22,0.0048870119944376435,0.004899359343971986,1.255284231866797
1982-02-23,1982-03-23,0.005417253613968179,0.005492546831708288,2.0
1982-02-24,1982-03-24,0.0052512083558163706,0.00537242678534985,2.0
1982-02-25,1982-03-25,0.006110737355443551,0.006152030201723939,1.9999999999999998
1982-02-26,1982-03-26,0.006515662569439555,0.006603474174539049,1.9999999999999998
1982-03-01,1982-04-01,0.0062360560114134555,0.0062545703180458935,1.9354240044126751
1982-03-02,1982-04-02,0.006321613383952724,0.006389245262728477,2.0
1982-03-03,1982-04-03,0.00653840426105365,0.006612638928614788,1.9999999999999998
1982-03-04,1982-04-04,0.00679931455825019,0.006909286160140704,2.0
1982-03-05,1982-04-05,0.007070645633877244,0.007187006208248849,2.0
1982-03-08,1982-04-08,0.006844311904753451,0.006997607905331741,2.0
1982-03-09,1982-04-09,0.006746354837857143,0.006761028998298517,1.9354240044126751
1982-03-10,1982-04-10,0.006572024756203902,0.006577306678881394,1.9354240044126751
1982-03-11,1982-04-11,0.006500940974844327,0.006529079364307248,1.9354239386303291
1982-03-12,1982-04-12,0.005889087923978158,0.005939747641999339,1.9354240044126751
1982-03-15,1982-04-15,0.005760836362635694,0.005954787133381864,2.0
1982-03-16,1982-04-16,0.005592438979288028,0.0058054755951122625,2.0
1982-03-17,1982-04-17,0.005742398984564062,0.005950857458250401,2.0
1982-03-18,1982-04-18,0.005771161482447437,0.006013634628774876,2.0
1982-03-19,1982-04-19,0.005597816891597163,0.005838389363244731,2.0
1982-03-22,1982-04-22,0.005494686851221666,0.005635077849077146,2.0
1982-03-23,1982-04-23,0.005265130441922085,0.00533782988123355,1.9354240044126751
1982-03-24,1982-04-24,0.005334163729157376,0.005345446856583342,1.9354240044126751
1982-03-25,1982-04-25,0.004593535661684543,0.004695580633251911,2.0
1982-03-26,1982-04-26,0.004165366476625268,0.004170543836962962,1.9354240044126751
1982-03-29,1982-04-29,0.00526587051465042,0.005254506189770372,0.7312442635695086
1982-03-30,1982-04-30,0.005289051375444651,0.005305926235842571,1.9354237969176025
1982-03-31,1982-04-30,0.005316488303062422,0.005343328665232349,1.9354240044126751
1982-04-01,1982-05-01,0.005202915811422208,0.0052446920399269875,2.0
1982-04-02,1982-05-02,0.0052917149219957795,0.005339620107993504,2.0
1982-04-05,1982-05-05,0.005408487958268382,0.005431181247470224,0.5
1982-04-06,1982-05-06,0.005993872634814132,0.0060206164397970255,0.5
1982-04-07,1982-05-07,0.0061673040728785974,0.0061979520046106,0.5
1982-04-08,1982-05-08,0.006343482694816792,0.006374349701943946,0.5000000061001125
1982-04-12,1982-05-12,0.0064398667258713325,0.006502540042164479,0.5000000107125296
1982-04-13,1982-05-13,0.00667442522484222,0.006732084790398264,0.5
1982-04-14,1982-05-14,0.006692170716987666,0.006724232887605615,0.5
